timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
5452537,32767,32767,32767,32767,32767,32767
5456506,32767,32767,32767,32767,32767,32767
5460506,32767,32767,32767,32767,32767,32767
5464506,32767,32767,32767,32767,32767,32767
5468506,32767,32767,32767,32767,32767,32767
5472543,32767,32767,32767,32767,32767,32767
5476505,32767,32767,32767,32767,32767,32767
5480506,32767,32767,32767,32767,32767,32767
5484506,32767,32767,32767,32767,32767,32767
5488506,32767,32767,32767,32767,32767,32767
5492579,32767,32767,32767,32767,32767,32767
5496506,32767,32767,32767,32767,32767,32767
5500506,32767,32767,32767,32767,32767,32767
5504506,32767,32767,32767,32767,32767,32767
5508506,32767,32767,32767,32767,32767,32767
5512506,32767,32767,32767,32767,32767,32767
5516506,32767,32767,32767,32767,32767,32767
5520506,32767,32767,32767,32767,32767,32767
5524506,32767,32767,32767,32767,32767,32767
5528506,32767,32767,32767,32767,32767,32767
5532506,32767,32767,32767,32767,32767,32767
5536506,32767,32767,32767,32767,32767,32767
5540506,32767,32767,32767,32767,32767,32767
5544506,32767,32767,32767,32767,32767,32767
5548507,32767,32767,32767,32767,32767,32767
5552506,32767,32767,32767,32767,32767,32767
5556542,32767,32767,32767,32767,32767,32767
5560511,32767,32767,32767,32767,32767,32767
5564505,32767,32767,32767,32767,32767,32767
5568506,32767,32767,32767,32767,32767,32767
5572506,32767,32767,32767,32767,32767,32767
5576545,32767,32767,32767,32767,32767,32767
5580522,32767,32767,32767,32767,32767,32767
5584506,32767,32767,32767,32767,32767,32767
5588506,32767,32767,32767,32767,32767,32767
5592506,32767,32767,32767,32767,32767,32767
5596506,32767,32767,32767,32767,32767,32767
5600551,32767,32767,32767,32767,32767,32767
5604506,32767,32767,32767,32767,32767,32767
5608506,32767,32767,32767,32767,32767,32767
5612506,32767,32767,32767,32767,32767,32767
5616506,32767,32767,32767,32767,32767,32767
5620519,32767,32767,32767,32767,32767,32767
5624506,32767,32767,32767,32767,32767,32767
5628506,32767,32767,32767,32767,32767,32767
5632506,32767,32767,32767,32767,32767,32767
5636506,32767,32767,32767,32767,32767,32767
5640565,32767,32767,32767,32767,32767,32767
5644506,32767,32767,32767,32767,32767,32767
5648506,32767,32767,32767,32767,32767,32767
5652505,32767,32767,32767,32767,32767,32767
5656506,32767,32767,32767,32767,32767,32767
5660541,32767,32767,32767,32767,32767,32767
5664506,32767,32767,32767,32767,32767,32767
5668506,32767,32767,32767,32767,32767,32767
5673306,32767,32767,32767,32767,32767,32767
5677345,32767,32767,32767,32767,32767,32767
5681337,32767,32767,32767,32767,32767,32767
5685309,32767,32767,32767,32767,32767,32767
5689306,32767,32767,32767,32767,32767,32767
5693306,32767,32767,32767,32767,32767,32767
5697306,32767,32767,32767,32767,32767,32767
5701305,32767,32767,32767,32767,32767,32767
5705306,32767,32767,32767,32767,32767,32767
5709306,32767,32767,32767,32767,32767,32767
5713306,32767,32767,32767,32767,32767,32767
5717306,32767,32767,32767,32767,32767,32767
5721334,32767,32767,32767,32767,32767,32767
5725306,32767,32767,32767,32767,32767,32767
5729315,32767,32767,32767,32767,32767,32767
5733306,32767,32767,32767,32767,32767,32767
5737306,32767,32767,32767,32767,32767,32767
5741340,32767,32767,32767,32767,32767,32767
5745306,32767,32767,32767,32767,32767,32767
5749306,32767,32767,32767,32767,32767,32767
5753306,32767,32767,32767,32767,32767,32767
5757306,32767,32767,32767,32767,32767,32767
5761345,32767,32767,32767,32767,32767,32767
5765306,32767,32767,32767,32767,32767,32767
5769306,32767,32767,32767,32767,32767,32767
5773317,32767,32767,32767,32767,32767,32767
5777306,32767,32767,32767,32767,32767,32767
5781306,32767,32767,32767,32767,32767,32767
5785306,32767,32767,32767,32767,32767,32767
5789306,32767,32767,32767,32767,32767,32767
5793306,32767,32767,32767,32767,32767,32767
5797306,32767,32767,32767,32767,32767,32767
5801306,32767,32767,32767,32767,32767,32767
5805306,32767,32767,32767,32767,32767,32767
5809321,32767,32767,32767,32767,32767,32767
5813306,32767,32767,32767,32767,32767,32767
5817306,32767,32767,32767,32767,32767,32767
5821306,32767,32767,32767,32767,32767,32767
5825330,32767,32767,32767,32767,32767,32767
5829351,32767,32767,32767,32767,32767,32767
5833306,32767,32767,32767,32767,32767,32767
5837306,32767,32767,32767,32767,32767,32767
5841306,32767,32767,32767,32767,32767,32767
5845341,32767,32767,32767,32767,32767,32767
5849320,32767,32767,32767,32767,32767,32767
5853306,32767,32767,32767,32767,32767,32767
5857306,32767,32767,32767,32767,32767,32767
5861312,32767,32767,32767,32767,32767,32767
5865306,32767,32767,32767,32767,32767,32767
5869330,32767,32767,32767,32767,32767,32767
5873306,32767,32767,32767,32767,32767,32767
5877306,32767,32767,32767,32767,32767,32767
5881306,32767,32767,32767,32767,32767,32767
5885306,32767,32767,32767,32767,32767,32767
5889306,32767,32767,32767,32767,32767,32767
5893306,32767,32767,32767,32767,32767,32767
5897306,32767,32767,32767,32767,32767,32767
5901306,32767,32767,32767,32767,32767,32767
5905310,32767,32767,32767,32767,32767,32767
5909330,32767,32767,32767,32767,32767,32767
5913306,32767,32767,32767,32767,32767,32767
5917306,32767,32767,32767,32767,32767,32767
5921306,32767,32767,32767,32767,32767,32767
5925306,32767,32767,32767,32767,32767,32767
5929341,32767,32767,32767,32767,32767,32767
5934115,32767,32767,32767,32767,32767,32767
5938906,32767,32767,32767,32767,32767,32767
5942961,32767,32767,32767,32767,32767,32767
5946906,32767,32767,32767,32767,32767,32767
5950906,32767,32767,32767,32767,32767,32767
5954918,32767,32767,32767,32767,32767,32767
5958906,32767,32767,32767,32767,32767,32767
5962910,32767,32767,32767,32767,32767,32767
5966906,32767,32767,32767,32767,32767,32767
5970918,32767,32767,32767,32767,32767,32767
5974914,32767,32767,32767,32767,32767,32767
5978906,32767,32767,32767,32767,32767,32767
5982948,32767,32767,32767,32767,32767,32767
5986906,32767,32767,32767,32767,32767,32767
5990932,32767,32767,32767,32767,32767,32767
5994905,32767,32767,32767,32767,32767,32767
5998906,32767,32767,32767,32767,32767,32767
6002954,32767,32767,32767,32767,32767,32767
6006906,32767,32767,32767,32767,32767,32767
6010909,32767,32767,32767,32767,32767,32767
6014916,32767,32767,32767,32767,32767,32767
6018906,32767,32767,32767,32767,32767,32767
6022928,32767,32767,32767,32767,32767,32767
6026939,32767,32767,32767,32767,32767,32767
6030929,32767,32767,32767,32767,32767,32767
6034906,32767,32767,32767,32767,32767,32767
6038906,32767,32767,32767,32767,32767,32767
6042939,32767,32767,32767,32767,32767,32767
6046945,32767,32767,32767,32767,32767,32767
6050906,32767,32767,32767,32767,32767,32767
6054906,32767,32767,32767,32767,32767,32767
6058917,32767,32767,32767,32767,32767,32767
6062928,32767,32767,32767,32767,32767,32767
6066906,32767,32767,32767,32767,32767,32767
6070906,32767,32767,32767,32767,32767,32767
6074906,32767,32767,32767,32767,32767,32767
6078906,32767,32767,32767,32767,32767,32767
6082928,32767,32767,32767,32767,32767,32767
6086906,32767,32767,32767,32767,32767,32767
6090906,32767,32767,32767,32767,32767,32767
6094906,32767,32767,32767,32767,32767,32767
6098917,32767,32767,32767,32767,32767,32767
6102938,32767,32767,32767,32767,32767,32767
6106906,32767,32767,32767,32767,32767,32767
6110943,32767,32767,32767,32767,32767,32767
6114906,32767,32767,32767,32767,32767,32767
6118930,32767,32767,32767,32767,32767,32767
6122928,32767,32767,32767,32767,32767,32767
6126906,32767,32767,32767,32767,32767,32767
6130941,32767,32767,32767,32767,32767,32767
6134906,32767,32767,32767,32767,32767,32767
6138948,32767,32767,32767,32767,32767,32767
6142928,32767,32767,32767,32767,32767,32767
6146906,32767,32767,32767,32767,32767,32767
6150906,32767,32767,32767,32767,32767,32767
6154906,32767,32767,32767,32767,32767,32767
6158905,32767,32767,32767,32767,32767,32767
6162934,32767,32767,32767,32767,32767,32767
6166906,32767,32767,32767,32767,32767,32767
6170906,32767,32767,32767,32767,32767,32767
6174906,32767,32767,32767,32767,32767,32767
6178934,32767,32767,32767,32767,32767,32767
6182943,32767,32767,32767,32767,32767,32767
6186908,32767,32767,32767,32767,32767,32767
6190906,32767,32767,32767,32767,32767,32767
6194930,32767,32767,32767,32767,32767,32767
6198905,32767,32767,32767,32767,32767,32767
6202928,32767,32767,32767,32767,32767,32767
6206906,32767,32767,32767,32767,32767,32767
6210906,32767,32767,32767,32767,32767,32767
6214941,32767,32767,32767,32767,32767,32767
6218905,32767,32767,32767,32767,32767,32767
6222929,32767,32767,32767,32767,32767,32767
6226906,32767,32767,32767,32767,32767,32767
6230906,32767,32767,32767,32767,32767,32767
6234915,32767,32767,32767,32767,32767,32767
6238906,32767,32767,32767,32767,32767,32767
6242929,32767,32767,32767,32767,32767,32767
6246906,32767,32767,32767,32767,32767,32767
6250906,32767,32767,32767,32767,32767,32767
6254906,32767,32767,32767,32767,32767,32767
6258906,32767,32767,32767,32767,32767,32767
6262929,32767,32767,32767,32767,32767,32767
6266919,32767,32767,32767,32767,32767,32767
6270906,32767,32767,32767,32767,32767,32767
6274906,32767,32767,32767,32767,32767,32767
6278937,32767,32767,32767,32767,32767,32767
6282929,32767,32767,32767,32767,32767,32767
6286951,32767,32767,32767,32767,32767,32767
6290906,32767,32767,32767,32767,32767,32767
6294906,32767,32767,32767,32767,32767,32767
6298941,32767,32767,32767,32767,32767,32767
6302929,32767,32767,32767,32767,32767,32767
6306919,32767,32767,32767,32767,32767,32767
6310906,32767,32767,32767,32767,32767,32767
6314906,32767,32767,32767,32767,32767,32767
6318906,32767,32767,32767,32767,32767,32767
6322952,32767,32767,32767,32767,32767,32767
6326930,32767,32767,32767,32767,32767,32767
6330906,32767,32767,32767,32767,32767,32767
6334906,32767,32767,32767,32767,32767,32767
6338906,32767,32767,32767,32767,32767,32767
6342929,32767,32767,32767,32767,32767,32767
6346906,32767,32767,32767,32767,32767,32767
6350906,32767,32767,32767,32767,32767,32767
6354906,32767,32767,32767,32767,32767,32767
6358906,32767,32767,32767,32767,32767,32767
6362953,32767,32767,32767,32767,32767,32767
6366921,32767,32767,32767,32767,32767,32767
6370906,32767,32767,32767,32767,32767,32767
6374906,32767,32767,32767,32767,32767,32767
6378906,32767,32767,32767,32767,32767,32767
6382914,32767,32767,32767,32767,32767,32767
6386906,32767,32767,32767,32767,32767,32767
6390906,32767,32767,32767,32767,32767,32767
6394916,32767,32767,32767,32767,32767,32767
6398906,32767,32767,32767,32767,32767,32767
6402948,32767,32767,32767,32767,32767,32767
6406906,32767,32767,32767,32767,32767,32767
6410906,32767,32767,32767,32767,32767,32767
6414936,32767,32767,32767,32767,32767,32767
6418906,32767,32767,32767,32767,32767,32767
6422944,32767,32767,32767,32767,32767,32767
6426906,32767,32767,32767,32767,32767,32767
6430906,32767,32767,32767,32767,32767,32767
6434919,32767,32767,32767,32767,32767,32767
6438906,32767,32767,32767,32767,32767,32767
6442939,32767,32767,32767,32767,32767,32767
6446943,32767,32767,32767,32767,32767,32767
6450906,32767,32767,32767,32767,32767,32767
6458906,32767,32767,32767,32767,32767,32767
6462951,32767,32767,32767,32767,32767,32767
6466932,32767,32767,32767,32767,32767,32767
6470906,32767,32767,32767,32767,32767,32767
6474906,32767,32767,32767,32767,32767,32767
6478906,32767,32767,32767,32767,32767,32767
6482909,32767,32767,32767,32767,32767,32767
6486906,32767,32767,32767,32767,32767,32767
6490906,32767,32767,32767,32767,32767,32767
6494906,32767,32767,32767,32767,32767,32767
6498906,32767,32767,32767,32767,32767,32767
6502938,32767,32767,32767,32767,32767,32767
6506906,32767,32767,32767,32767,32767,32767
6510906,32767,32767,32767,32767,32767,32767
6515751,32767,32767,32767,32767,32767,32767
6519706,32767,32767,32767,32767,32767,32767
6523706,32767,32767,32767,32767,32767,32767
6527706,32767,32767,32767,32767,32767,32767
6531706,32767,32767,32767,32767,32767,32767
6535720,32767,32767,32767,32767,32767,32767
6539706,32767,32767,32767,32767,32767,32767
6543706,32767,32767,32767,32767,32767,32767
6547740,32767,32767,32767,32767,32767,32767
6551706,32767,32767,32767,32767,32767,32767
6555730,32767,32767,32767,32767,32767,32767
6559706,32767,32767,32767,32767,32767,32767
6563706,32767,32767,32767,32767,32767,32767
6567741,32767,32767,32767,32767,32767,32767
6571706,32767,32767,32767,32767,32767,32767
6575706,32767,32767,32767,32767,32767,32767
6579706,32767,32767,32767,32767,32767,32767
6583706,32767,32767,32767,32767,32767,32767
6587706,32767,32767,32767,32767,32767,32767
6591706,32767,32767,32767,32767,32767,32767
6595706,32767,32767,32767,32767,32767,32767
6599706,32767,32767,32767,32767,32767,32767
6603706,32767,32767,32767,32767,32767,32767
6607706,32767,32767,32767,32767,32767,32767
6611706,32767,32767,32767,32767,32767,32767
6615706,32767,32767,32767,32767,32767,32767
6619706,32767,32767,32767,32767,32767,32767
6623716,32767,32767,32767,32767,32767,32767
6627706,32767,32767,32767,32767,32767,32767
6631740,32767,32767,32767,32767,32767,32767
6635706,32767,32767,32767,32767,32767,32767
6639706,32767,32767,32767,32767,32767,32767
6643736,32767,32767,32767,32767,32767,32767
6647706,32767,32767,32767,32767,32767,32767
6651741,32767,32767,32767,32767,32767,32767
6655706,32767,32767,32767,32767,32767,32767
6659706,32767,32767,32767,32767,32767,32767
6663747,32767,32767,32767,32767,32767,32767
6667706,32767,32767,32767,32767,32767,32767
