timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
5452537,0.00196319,0.00529986,-0.0031114,4031,0,-0.00464191,-0.0820223,-9.7511,4031,-647,-0.29704,0.265062,0.676831,-9534,296.019,24.11
5456506,0.00174989,0.00572136,-0.0026899,3969,0,-0.0102719,-0.0657011,-9.77098,3969,-4616,-0.29704,0.265062,0.676831,-13503,296.019,24.11
5460506,0.0023926,0.00583064,-0.0027908,4000,0,-0.0198264,-0.0623802,-9.76239,4000,-8616,-0.29704,0.265062,0.676831,-17503,296.019,24.11
5464506,0.00313224,0.00604481,-0.00226003,4000,0,-0.00939714,-0.0685801,-9.75872,4000,-2616,-0.295813,0.263051,0.679235,-21503,296.019,24.11
5468506,0.00345682,0.00636408,-0.00353456,4000,0,-0.00792243,-0.100235,-9.7788,4000,-6616,-0.295813,0.263051,0.679235,-3516,296.277,24.11
5472543,0.00313679,0.00593373,-0.00417562,4037,0,-0.0097739,-0.108425,-9.77133,4037,-653,-0.297347,0.263936,0.679649,-7553,296.277,24.11
5476505,0.00303323,0.00529986,-0.00375203,3962,0,0.00248974,-0.110865,-9.75008,3962,-4615,-0.297347,0.263936,0.679649,-511,296.277,24.11
5480506,0.00197074,0.00529986,-0.00353326,4001,0,0.00394214,-0.103651,-9.75157,4001,-8616,-0.297347,0.263936,0.679649,-4512,296.277,24.11
5484506,0.00228618,0.00604202,-0.00417562,4000,0,-0.0169507,-0.0959953,-9.75767,4000,-2616,-0.294355,0.264418,0.680643,-8512,296.277,24.11
5488506,0.00239261,0.00636408,-0.00375565,4000,0,-0.00237399,-0.0777936,-9.76466,4000,-6616,-0.294355,0.264418,0.680643,-1504,296.705,24.11
5492579,0.00195665,0.00678214,-0.00396541,4073,0,0.012483,-0.0802556,-9.77427,4073,-689,-0.296043,0.266671,0.682798,-5577,296.705,24.11
5496506,0.00165359,0.00539837,-0.00320991,3927,0,-0.0120453,-0.0954836,-9.79414,3927,-4616,-0.296043,0.266671,0.682798,-9504,296.705,24.11
5500506,0.00207227,0.00540229,-0.0031114,4000,0,-0.0112918,-0.0853487,-9.78329,4000,-8616,-0.296043,0.266671,0.682798,-13504,296.705,24.11
5504506,0.0023926,0.00594092,-0.00226003,4000,0,-0.00888696,-0.0974091,-9.7398,4000,-2579,-0.298114,0.257983,0.678406,-17504,296.705,24.11
5508506,0.0023926,0.00615124,-0.0031114,4000,0,-0.0127492,-0.0893049,-9.74291,4000,-6579,-0.298114,0.257983,0.678406,-21504,296.705,24.11
5512506,0.00302515,0.00487537,-0.00258289,4000,0,-0.0122135,-0.0782433,-9.77133,4000,-616,-0.299648,0.263131,0.679317,-3515,296.105,24.11
5516506,0.00164965,0.00519264,-0.00321782,4000,0,-0.0112882,-0.0748838,-9.79729,4000,-4616,-0.299648,0.263131,0.679317,-7515,296.105,24.11
5520506,0.00132839,0.0046572,-0.00333076,4000,0,-0.0012592,-0.0845242,-9.80436,4000,-8616,-0.299648,0.263131,0.679317,-494,296.277,24.11
5524506,0.00217737,0.00572315,-0.00194063,4000,0,-0.0226428,-0.0734255,-9.81807,4000,-2597,-0.299878,0.267073,0.6794,-4494,296.277,24.11
5528506,0.00260545,0.00636408,-0.00182715,4000,0,-0.0165005,-0.0858643,-9.78713,4000,-6597,-0.299878,0.267073,0.6794,-8494,296.277,24.11
5532506,0.00260545,0.00636408,-0.00268691,4000,0,-0.0117598,-0.0820862,-9.78317,4000,-599,-0.298651,0.265062,0.680229,-1503,296.277,24.11
5536506,0.00345682,0.00540961,-0.0021536,4000,0,0.0010767,-0.0829167,-9.75451,4000,-4599,-0.298651,0.265062,0.680229,-5503,296.277,24.11
