timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.106879,0.0549366
0,0.11021,0.0551936
0,0.121682,0.057394
0,0.0987728,0.0565568
0,0.104398,0.0568355
0,0.119428,0.0550583
0,0.13543,0.0558392
0,0.134103,0.0556729
0,0.0992406,0.0544296
0,0.10192,0.0568645
0,0.100999,0.0555479
0,0.0865176,0.057124
0,0.0963538,0.0554882
0,0.117507,0.0553152
0,0.116252,0.0572895
0,0.128985,0.0563665
0,0.115525,0.0548485
0,0.103271,0.0537848
0,0.10178,0.0578717
0,0.106647,0.0562461
0,0.0839271,0.054125
0,0.107187,0.0551704
0,0.0961655,0.0529009
0,0.0893913,0.0532242
0,0.0854315,0.0548433
0,0.116019,0.0572521
0,0.10577,0.0564154
0,0.0993789,0.0570457
0,0.0902738,0.0549637
0,0.124288,0.0527141
0,0.0804313,0.0532629
0,0.062856,0.055937
0,0.0907716,0.0548797
0,0.0819013,0.053053
0,0.0989652,0.0511979
0,0.120419,0.0553227
0,0.103466,0.0563871
0,0.0951792,0.0564848
0,0.0969217,0.0537265
0,0.0951639,0.0554129
0,0.112024,0.0564973
0,0.0630803,0.0571822
0,0.0968912,0.0549781
0,0.0808017,0.0536272
0,0.100885,0.0532636
0,0.0572802,0.0532757
0,0.0896545,0.055143
0,0.0925702,0.053523
0,0.0889172,0.0566249
0,0.0815419,0.0552409
0,0.0901732,0.0519189
0,0.0753271,0.0540939
0,0.0962992,0.0525131
0,0.06947,0.0525679
0,0.077063,0.0518897
0,0.0893994,0.0547172
0,0.0885108,0.0549156
0,0.0901512,0.0539692
