timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
5557704,32767,32767,32767,32767,32767,32767
5561704,32767,32767,32767,32767,32767,32767
5565704,32767,32767,32767,32767,32767,32767
5569704,32767,32767,32767,32767,32767,32767
5573704,32767,32767,32767,32767,32767,32767
5577704,32767,32767,32767,32767,32767,32767
5581714,32767,32767,32767,32767,32767,32767
5585704,32767,32767,32767,32767,32767,32767
5589704,32767,32767,32767,32767,32767,32767
5593704,32767,32767,32767,32767,32767,32767
5597743,32767,32767,32767,32767,32767,32767
5601744,32767,32767,32767,32767,32767,32767
5605704,32767,32767,32767,32767,32767,32767
5609704,32767,32767,32767,32767,32767,32767
5613704,32767,32767,32767,32767,32767,32767
5617704,32767,32767,32767,32767,32767,32767
5621713,32767,32767,32767,32767,32767,32767
5625704,32767,32767,32767,32767,32767,32767
5629704,32767,32767,32767,32767,32767,32767
5633704,32767,32767,32767,32767,32767,32767
5637704,32767,32767,32767,32767,32767,32767
5642504,32767,32767,32767,32767,32767,32767
5646504,32767,32767,32767,32767,32767,32767
5650504,32767,32767,32767,32767,32767,32767
5654504,32767,32767,32767,32767,32767,32767
5658504,32767,32767,32767,32767,32767,32767
5662523,32767,32767,32767,32767,32767,32767
5666504,32767,32767,32767,32767,32767,32767
5670504,32767,32767,32767,32767,32767,32767
5674504,32767,32767,32767,32767,32767,32767
5678504,32767,32767,32767,32767,32767,32767
5682539,32767,32767,32767,32767,32767,32767
5686504,32767,32767,32767,32767,32767,32767
5690504,32767,32767,32767,32767,32767,32767
5694504,32767,32767,32767,32767,32767,32767
5698533,32767,32767,32767,32767,32767,32767
5702550,32767,32767,32767,32767,32767,32767
5706504,32767,32767,32767,32767,32767,32767
5710504,32767,32767,32767,32767,32767,32767
5714504,32767,32767,32767,32767,32767,32767
5718504,32767,32767,32767,32767,32767,32767
5722518,32767,32767,32767,32767,32767,32767
5726504,32767,32767,32767,32767,32767,32767
5730504,32767,32767,32767,32767,32767,32767
5734504,32767,32767,32767,32767,32767,32767
5738504,32767,32767,32767,32767,32767,32767
5742504,32767,32767,32767,32767,32767,32767
5746504,32767,32767,32767,32767,32767,32767
5750504,32767,32767,32767,32767,32767,32767
5754507,32767,32767,32767,32767,32767,32767
5758504,32767,32767,32767,32767,32767,32767
5762504,32767,32767,32767,32767,32767,32767
5766504,32767,32767,32767,32767,32767,32767
5770504,32767,32767,32767,32767,32767,32767
5774504,32767,32767,32767,32767,32767,32767
5778504,32767,32767,32767,32767,32767,32767
5782533,32767,32767,32767,32767,32767,32767
5786504,32767,32767,32767,32767,32767,32767
5790504,32767,32767,32767,32767,32767,32767
5794504,32767,32767,32767,32767,32767,32767
5798504,32767,32767,32767,32767,32767,32767
5802504,32767,32767,32767,32767,32767,32767
5806504,32767,32767,32767,32767,32767,32767
5810515,32767,32767,32767,32767,32767,32767
5814504,32767,32767,32767,32767,32767,32767
5818504,32767,32767,32767,32767,32767,32767
5822504,32767,32767,32767,32767,32767,32767
5826504,32767,32767,32767,32767,32767,32767
5830545,32767,32767,32767,32767,32767,32767
5834504,32767,32767,32767,32767,32767,32767
5838504,32767,32767,32767,32767,32767,32767
5842504,32767,32767,32767,32767,32767,32767
5846504,32767,32767,32767,32767,32767,32767
5850513,32767,32767,32767,32767,32767,32767
5854513,32767,32767,32767,32767,32767,32767
5858504,32767,32767,32767,32767,32767,32767
5862504,32767,32767,32767,32767,32767,32767
5866547,32767,32767,32767,32767,32767,32767
5870532,32767,32767,32767,32767,32767,32767
5874503,32767,32767,32767,32767,32767,32767
5878504,32767,32767,32767,32767,32767,32767
5882504,32767,32767,32767,32767,32767,32767
5886504,32767,32767,32767,32767,32767,32767
5890504,32767,32767,32767,32767,32767,32767
5894504,32767,32767,32767,32767,32767,32767
5898504,32767,32767,32767,32767,32767,32767
5902504,32767,32767,32767,32767,32767,32767
5906504,32767,32767,32767,32767,32767,32767
5910504,32767,32767,32767,32767,32767,32767
5914504,32767,32767,32767,32767,32767,32767
5918504,32767,32767,32767,32767,32767,32767
5922504,32767,32767,32767,32767,32767,32767
5926504,32767,32767,32767,32767,32767,32767
5930504,32767,32767,32767,32767,32767,32767
5934504,32767,32767,32767,32767,32767,32767
5938509,32767,32767,32767,32767,32767,32767
5942504,32767,32767,32767,32767,32767,32767
5946504,32767,32767,32767,32767,32767,32767
5950547,32767,32767,32767,32767,32767,32767
5955304,32767,32767,32767,32767,32767,32767
5959304,32767,32767,32767,32767,32767,32767
5963304,32767,32767,32767,32767,32767,32767
