timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
5557704,0.00345682,0.00540602,-0.0031114,4000,0,-9.83852,-0.159287,0.167168,4000,-1785,0.765561,0.316708,0.184298,-2701,297.477,25.24
5561704,0.00271187,0.00529986,-0.0031114,4000,0,-9.86809,-0.178932,0.172331,4000,-5785,0.765561,0.316708,0.184298,-6701,297.477,25.24
5565704,0.00165324,0.00529986,-0.0031114,4000,0,-9.82529,-0.178526,0.183655,4000,-9785,0.765561,0.316708,0.184298,-10701,297.477,25.24
5569704,0.00281337,0.00625779,-0.00257411,4000,0,-9.8171,-0.180921,0.190218,4000,-3777,0.76464,0.314053,0.182641,-3615,297.39,25.24
5573704,0.00228765,0.00615124,-0.0031114,4000,0,-9.84188,-0.163133,0.180849,4000,-7777,0.76464,0.314053,0.182641,-7615,297.39,25.24
5577704,0.00185903,0.00540868,-0.002156,4000,0,-9.86988,-0.154985,0.185081,4000,-1811,0.765714,0.31542,0.185872,-11615,297.39,25.24
5581714,0.00292617,0.00625792,-0.00204718,4010,0,-9.8628,-0.149215,0.185566,4010,-5821,0.765714,0.31542,0.185872,-15625,297.39,25.24
5585704,0.00217336,0.00636408,-0.00279854,3990,0,-9.84525,-0.159208,0.188394,3990,-9811,0.765714,0.31542,0.185872,-19615,297.39,25.24
5589704,0.00271666,0.00636408,-0.00225524,4000,0,-9.84658,-0.173199,0.176215,4000,-3810,0.768706,0.31172,0.187944,-1712,297.133,25.24
5593704,0.00218122,0.00636408,-0.0031114,4000,0,-9.86281,-0.17272,0.167617,4000,-7810,0.768706,0.31172,0.187944,-5712,297.133,25.24
5597743,0.00186353,0.00582894,-0.00257627,4039,0,-9.859,-0.159718,0.203591,4039,-1850,0.767172,0.315823,0.185707,-9751,297.133,25.24
5601744,0.0023926,0.0060554,-0.00204718,4001,0,-9.83937,-0.152633,0.207994,4001,-5851,0.767172,0.315823,0.185707,-2743,297.818,25.24
5605704,0.00293278,0.00636408,-0.00151265,3960,0,-9.85625,-0.183425,0.184974,3960,-9811,0.767172,0.315823,0.185707,-6703,297.818,25.24
5609704,0.0023926,0.00540628,-0.00193597,4000,0,-9.85423,-0.179457,0.185546,4000,-3810,0.76533,0.316064,0.185789,-10703,297.818,25.24
5613704,0.0033504,0.00529986,-0.00236645,4000,0,-9.82955,-0.161687,0.184611,4000,-7810,0.76533,0.316064,0.185789,-3695,297.562,25.24
5617704,0.00271959,0.00572728,-0.00204718,4000,0,-9.83609,-0.149285,0.182759,4000,-1811,0.766481,0.315823,0.185707,-7695,297.562,25.24
5621713,0.00260736,0.00615171,-0.00204718,4009,0,-9.85474,-0.152119,0.184604,4009,-5820,0.766481,0.315823,0.185707,-11704,297.562,25.24
5625704,0.00345682,0.00636408,-0.00215384,3991,0,-9.86233,-0.168891,0.160077,3991,-9811,0.766481,0.315823,0.185707,-15695,297.562,25.24
5629704,0.00271187,0.00678963,-0.00236644,4000,0,-9.8552,-0.150651,0.153007,4000,-3810,0.766098,0.317512,0.187115,-19695,297.562,25.24
5633704,0.0023926,0.00668907,-0.00204718,4000,0,-9.83955,-0.167067,0.162791,4000,-7810,0.766098,0.317512,0.187115,-1713,297.305,25.25
5637704,0.0023926,0.0058333,-0.00182955,4000,0,-9.83959,-0.177489,0.181351,4000,-1811,0.766558,0.318317,0.183386,-5713,297.305,25.25
5642504,0.0023926,0.00654145,-0.00222455,4800,0,-9.83397,-0.181594,0.159614,4800,-6611,0.766558,0.318317,0.183386,-10513,297.305,25.25
5646504,0.00271187,0.00678977,-0.00247287,4000,0,-9.82717,-0.18807,0.146402,4000,-610,0.765254,0.312605,0.184132,-3514,297.818,25.25
5650504,0.00175128,0.00572834,-0.00215361,4000,0,-9.82714,-0.191882,0.173299,4000,-4610,0.765254,0.312605,0.184132,-7514,297.818,25.25
5654504,0.0023926,0.00529986,-0.00300498,4000,0,-9.82764,-0.180874,0.153008,4000,-8610,0.765254,0.312605,0.184132,-502,297.477,25.25
5658504,0.0023926,0.00614605,-0.00204718,4000,0,-9.84764,-0.184688,0.189207,4000,-2611,0.766941,0.317914,0.183055,-4502,297.477,25.25
5662523,0.0023926,0.0074283,-0.00204718,4019,0,-9.8509,-0.190443,0.208624,4019,-6630,0.766941,0.317914,0.183055,-8521,297.477,25.25
5666504,0.00228567,0.0058321,-0.00215411,3981,0,-9.84617,-0.169885,0.176616,3981,-579,0.766251,0.314696,0.185209,-12502,297.477,25.25
5670504,0.00238037,0.00625766,-0.00269184,4000,0,-9.84039,-0.164085,0.167663,4000,-4579,0.766251,0.314696,0.185209,-16502,297.477,25.25
5674504,0.00303113,0.00636408,-0.00257929,4000,0,-9.85235,-0.151614,0.167164,4000,-8579,0.766251,0.314696,0.185209,-20502,297.477,25.25
5678504,0.0033504,0.00572808,-0.00236445,4000,0,-9.85382,-0.152973,0.189213,4000,-2611,0.764256,0.318075,0.182309,-2453,297.39,25.24
5682539,0.0023926,0.00572185,-0.00215268,4035,0,-9.85333,-0.172248,0.158109,4035,-6646,0.764256,0.318075,0.182309,-6488,297.39,25.24
5686504,0.00356888,0.00529986,-0.00204718,3965,0,-9.84044,-0.169812,0.150177,3965,-577,0.766865,0.31896,0.183138,-10453,297.39,25.24
5690504,0.00282055,0.00529986,-0.00204718,4000,0,-9.86277,-0.181355,0.19072,4000,-4577,0.766865,0.31896,0.183138,-3513,297.904,25.24
5694504,0.00398893,0.00529986,-0.00108939,4000,0,-9.86755,-0.173199,0.207745,4000,-8577,0.766865,0.31896,0.183138,-7513,297.904,25.24
5698533,0.00367196,0.00529986,-0.00205101,4029,0,-9.84429,-0.184699,0.207791,4029,-2640,0.763489,0.317432,0.181232,-542,297.562,25.24
5702550,0.00322885,0.00529986,-0.0031114,4017,0,-9.83332,-0.174282,0.20907,4017,-6657,0.763489,0.317432,0.181232,-4559,297.562,25.24
5706504,0.00239261,0.00690507,-0.0031114,3954,0,-9.83483,-0.181281,0.164637,3954,-611,0.762415,0.314536,0.181066,-8513,297.562,25.24
5710504,0.0023926,0.00678977,-0.0040692,4000,0,-9.83333,-0.146811,0.131308,4000,-4611,0.762415,0.314536,0.181066,-12513,297.562,25.24
5714504,0.0018605,0.0064705,-0.00321782,4000,0,-9.85472,-0.15737,0.141211,4000,-8611,0.762415,0.314536,0.181066,-16513,297.562,25.24
5718504,0.00143999,0.00615802,-0.0031114,4000,0,-9.8543,-0.162616,0.164669,4000,-2611,0.763489,0.316627,0.180403,-20513,297.562,25.24
5722518,0.00228655,0.00604407,-0.00278954,4014,0,-9.85042,-0.170784,0.161966,4014,-6625,0.763489,0.316627,0.180403,-2527,297.133,25.24
5726504,0.00281792,0.00636408,-0.00289968,3986,0,-9.84237,-0.175133,0.141163,3986,-611,0.76487,0.317271,0.180072,-6513,297.133,25.24
5730504,0.00281829,0.00636408,-0.00151174,4000,0,-9.85612,-0.176062,0.150103,4000,-4611,0.76487,0.317271,0.180072,-10513,297.133,25.24
5734504,0.0023926,0.00636408,-0.00300498,4000,0,-9.86898,-0.184232,0.184152,4000,-8611,0.76487,0.317271,0.180072,-3480,297.305,25.24
5738504,0.00154123,0.00710118,-0.00289071,4000,0,-9.85147,-0.165631,0.171953,4000,-2611,0.765024,0.321373,0.178912,-7480,297.305,25.24
5742504,0.00175407,0.00593839,-0.00247287,4000,0,-9.84902,-0.158809,0.164805,4000,-6611,0.765024,0.321373,0.178912,-501,297.562,25.24
5746504,0.00196705,0.00732188,-0.00204718,4000,0,-9.85948,-0.151134,0.174715,4000,-611,0.75973,0.320006,0.178995,-4501,297.562,25.24
5750504,0.0023926,0.0074283,-0.00235647,4000,0,-9.83626,-0.166601,0.182443,4000,-4611,0.75973,0.320006,0.178995,-8501,297.562,25.24
5754507,0.00398933,0.00678945,-0.00332449,4003,0,-9.85236,-0.174158,0.166216,4003,-8614,0.75973,0.320006,0.178995,-12504,297.562,25.24
5758504,0.00388496,0.00615108,-0.00279482,3997,0,-9.85571,-0.168402,0.169442,3997,-2611,0.762722,0.318156,0.179078,-16501,297.562,25.24
5762504,0.00345682,0.0074283,-0.00204718,4000,0,-9.84855,-0.170801,0.190286,4000,-6611,0.762722,0.318156,0.179078,-20501,297.562,25.24
5766504,0.00335559,0.00711422,-0.00182915,4000,0,-9.84756,-0.17885,0.169064,4000,-610,0.76533,0.316627,0.179741,-2473,297.39,25.25
5770504,0.0023926,0.00646997,-0.0031114,4000,0,-9.85235,-0.190457,0.177031,4000,-4610,0.76533,0.316627,0.179741,-6473,297.39,25.25
5774504,0.00249902,0.00678977,-0.0031114,4000,0,-9.8419,-0.20294,0.171411,4000,-8610,0.76533,0.316627,0.179741,-10473,297.39,25.25
5778504,0.00271639,0.00763662,-0.00215347,4000,0,-9.83526,-0.190051,0.18325,4000,-2611,0.76395,0.315179,0.180901,-3513,297.818,25.25
5782533,0.00132838,0.00753395,-0.00215667,4029,0,-9.85908,-0.148601,0.153473,4029,-6640,0.76395,0.315179,0.180901,-7542,297.818,25.25
5786504,0.00132838,0.0074283,-0.0032186,3971,0,-9.85998,-0.125231,0.158176,3971,-610,0.76487,0.31888,0.180403,-513,297.818,25.25
5790504,0.00164326,0.00678977,-0.00353709,4000,0,-9.84332,-0.139522,0.159162,4000,-4610,0.76487,0.31888,0.180403,-4513,297.818,25.25
5794504,0.00143627,0.00636408,-0.00215506,4000,0,-9.84521,-0.169828,0.15913,4000,-8610,0.76487,0.31888,0.180403,-8513,297.818,25.25
5798504,0.0018565,0.00732188,-0.00204718,4000,0,-9.84904,-0.174656,0.178873,4000,-2611,0.76418,0.319201,0.179906,-12513,297.818,25.25
5802504,0.00260545,0.0074283,-0.00109457,4000,0,-9.8537,-0.165981,0.177143,4000,-6611,0.76418,0.319201,0.179906,-16513,297.818,25.25
5806504,0.00186302,0.00732188,-0.00204465,4000,0,-9.8448,-0.185146,0.16576,4000,-610,0.764947,0.320569,0.178829,-20513,297.818,25.25
5810515,0.0025002,0.00647167,-0.00279009,4011,0,-9.83194,-0.175611,0.152543,4011,-4621,0.764947,0.320569,0.178829,-2524,297.733,25.25
5814504,0.0039892,0.00678921,-0.00236613,3989,0,-9.84094,-0.180874,0.171897,3989,-8610,0.764947,0.320569,0.178829,-6513,297.733,25.25
5818504,0.00314048,0.0055127,-0.0031114,4000,0,-9.85187,-0.162646,0.177584,4000,-2611,0.76418,0.31896,0.180155,-10513,297.733,25.25
5822504,0.00303114,0.00636408,-0.00300498,4000,0,-9.84617,-0.15737,0.199252,4000,-6611,0.76418,0.31896,0.180155,-3453,297.218,25.25
5826504,0.0028183,0.00700261,-0.00257929,4000,0,-9.84522,-0.177037,0.18887,4000,-571,0.763336,0.319121,0.180072,-7453,297.218,25.25
5830545,0.0023926,0.00679625,-0.00162581,4041,0,-9.86283,-0.156459,0.159543,4041,-4612,0.763336,0.319121,0.180072,-554,297.39,25.25
5834504,0.00346233,0.0074283,-0.00215471,3959,0,-9.84947,-0.173181,0.145457,3959,-8571,0.763336,0.319121,0.180072,-4513,297.39,25.25
5838504,0.00399173,0.0074283,-0.00204718,4000,0,-9.84899,-0.177012,0.150115,4000,-2611,0.763259,0.321615,0.179492,-8513,297.39,25.25
5842504,0.00356324,0.00678977,-0.00194076,4000,0,-9.85472,-0.163606,0.192173,4000,-6611,0.763259,0.321615,0.179492,-12513,297.39,25.25
5846504,0.00303114,0.0074283,-0.00204718,4000,0,-9.85995,-0.14106,0.205858,4000,-610,0.765637,0.317753,0.179658,-16513,297.39,25.25
5850513,0.00164361,0.00817729,-0.00268667,4009,0,-9.85765,-0.140589,0.171395,4009,-4619,0.765637,0.317753,0.179658,-20522,297.39,25.25
5854513,0.00271067,0.00774996,-0.0021524,4000,0,-9.84811,-0.155467,0.163368,4000,-8619,0.765637,0.317753,0.179658,-2522,297.305,25.25
5858504,0.00217928,0.00753376,-0.00204718,3991,0,-9.859,-0.163128,0.169035,3991,-2611,0.763182,0.31534,0.179575,-6513,297.305,25.25
5862504,0.00271187,0.00689619,-0.00300498,4000,0,-9.85045,-0.173679,0.179905,4000,-6611,0.763182,0.31534,0.179575,-10513,297.305,25.25
5866547,0.0023926,0.00731735,-0.00332764,4043,0,-9.84036,-0.166351,0.172295,4043,-653,0.76441,0.31888,0.17742,-3556,297.818,25.25
5870532,0.0023926,0.00636408,-0.0031114,3985,0,-9.83487,-0.154114,0.139116,3985,-4638,0.76441,0.31888,0.17742,-7541,297.818,25.25
5874503,0.00303553,0.00636408,-0.00396511,3971,0,-9.83807,-0.167966,0.143116,3971,-8609,0.76441,0.31888,0.17742,-501,297.562,25.25
5878504,0.00313484,0.00636408,-0.0031114,4001,0,-9.83242,-0.186619,0.164763,4001,-2579,0.763182,0.318638,0.180652,-4502,297.562,25.25
5882504,0.00345682,0.00700261,-0.00300498,4000,0,-9.82337,-0.176077,0.181792,4000,-6579,0.763182,0.318638,0.180652,-8502,297.562,25.25
5886504,0.0033504,0.00731616,-0.00141437,4000,0,-9.82181,-0.179863,0.172878,4000,-610,0.764333,0.321937,0.179741,-12502,297.562,25.25
5890504,0.0023926,0.00774756,-0.00204718,4000,0,-9.81244,-0.176077,0.154424,4000,-4610,0.764333,0.321937,0.179741,-16502,297.562,25.25
5894504,0.00271187,0.00625766,-0.00204718,4000,0,-9.83851,-0.171281,0.138392,4000,-8610,0.764333,0.321937,0.179741,-20502,297.562,25.25
5898504,0.0023926,0.00561926,-0.00204718,4000,0,-9.85092,-0.152092,0.144516,4000,-2574,0.762415,0.320167,0.178912,-2513,297.477,25.25
5902504,0.00122196,0.00583317,-0.00204718,4000,0,-9.859,-0.147291,0.161486,4000,-6574,0.762415,0.320167,0.178912,-6513,297.477,25.25
5906504,0.00249902,0.00668335,-0.00183434,4000,0,-9.8647,-0.169362,0.161502,4000,-610,0.764563,0.317834,0.179243,-10513,297.477,25.25
5910504,0.00303114,0.00636408,-0.00300498,4000,0,-9.86185,-0.15305,0.171411,4000,-4610,0.764563,0.317834,0.179243,-3513,297.133,25.25
5914504,0.00164765,0.0057302,-0.00204718,4000,0,-9.87036,-0.147776,0.199703,4000,-8610,0.764563,0.317834,0.179243,-7513,297.133,25.25
5918504,0.0023926,0.00519583,-0.00204718,4000,0,-9.87058,-0.145388,0.19321,4000,-2611,0.761495,0.317029,0.179741,-513,297.647,25.25
5922504,0.00313756,0.00487417,-0.00130223,4000,0,-9.83429,-0.140581,0.152065,4000,-6611,0.761495,0.317029,0.179741,-4513,297.647,25.25
5926504,0.00271041,0.00636315,-0.00204718,4000,0,-9.84237,-0.136741,0.150638,4000,-610,0.762875,0.315179,0.178829,-8513,297.647,25.25
5930504,0.00249903,0.00710903,-0.00204718,4000,0,-9.85045,-0.173679,0.129415,4000,-4610,0.762875,0.315179,0.178829,-12513,297.647,25.25
5934504,0.00271187,0.00572635,-0.00268491,4000,0,-9.84035,-0.160731,0.159361,4000,-8610,0.762875,0.315179,0.178829,-16513,297.647,25.25
5938509,0.00175806,0.00636408,-0.00289816,4005,0,-9.86141,-0.162616,0.195556,4005,-2616,0.762952,0.30995,0.17684,-20518,297.647,25.25
5942504,0.00196705,0.00636408,-0.00236685,3995,0,-9.83571,-0.183282,0.182269,3995,-6611,0.762952,0.30995,0.17684,-2513,297.39,25.25
5946504,0.00217976,0.00636408,-0.00279746,4000,0,-9.85097,-0.18807,0.186464,4000,-610,0.764793,0.316547,0.178498,-6513,297.39,25.25
5950547,0.00132838,0.00583197,-0.00204718,4043,0,-9.839,-0.173572,0.150052,4043,-4653,0.764793,0.316547,0.178498,-10556,297.39,25.25
5955304,0.00150736,0.00636408,-0.00151183,4757,0,-9.82245,-0.17848,0.168359,4757,-9410,0.764793,0.316547,0.178498,-4306,298.076,25.25
5959304,0.00239261,0.00636408,-0.00236645,4000,0,-9.83467,-0.190475,0.173344,4000,-3411,0.763489,0.318477,0.178746,-8306,298.076,25.25
5963304,0.0023926,0.00561926,-0.00343067,4000,0,-9.84047,-0.182313,0.151594,4000,-7411,0.763489,0.318477,0.178746,-1223,297.562,25.25
5967350,0.0018555,0.00636408,-0.00363851,4046,0,-9.84627,-0.167833,0.162942,4046,-1456,0.765177,0.317271,0.181646,-5269,297.562,25.25
5971304,0.00132838,0.00582578,-0.0031114,3954,0,-9.84464,-0.157381,0.166638,3954,-5410,0.765177,0.317271,0.181646,-9223,297.562,25.25
5975304,0.00143481,0.00529986,-0.00257929,4000,0,-9.82954,-0.169842,0.179905,4000,-9410,0.765177,0.317271,0.181646,-13223,297.562,25.25
5979304,0.0023926,0.00561434,-0.00226003,4000,0,-9.83997,-0.157894,0.17854,4000,-3411,0.762032,0.317593,0.181564,-17223,297.562,25.25
5983304,0.00249902,0.00636408,-0.00257929,4000,0,-9.84047,-0.152093,0.149705,4000,-7411,0.762032,0.317593,0.181564,-21223,297.562,25.25
5987304,0.00292844,0.00625766,-0.00343067,4000,0,-9.8367,-0.167443,0.139308,4000,-1410,0.761034,0.317593,0.181646,-3302,297.39,25.25
5991304,0.00164898,0.00529986,-0.00321915,4000,0,-9.84474,-0.179909,0.142598,4000,-5410,0.761034,0.317593,0.181646,-7302,297.39,25.25
5995303,0.00249919,0.00561894,-0.0028985,3999,0,-9.85282,-0.169841,0.147346,3999,-9409,0.761034,0.317593,0.181646,-312,297.818,25.25
5999304,0.00207395,0.00710951,-0.00332472,4001,0,-9.85093,-0.179434,0.15537,4001,-3411,0.763106,0.320328,0.181812,-4313,297.818,25.25
6003304,0.00132839,0.00636408,-0.00279214,4000,0,-9.8504,-0.166121,0.166152,4000,-7411,0.763106,0.320328,0.181812,-8313,297.818,25.25
6007304,0.0024965,0.00668082,-0.00215361,4000,0,-9.82623,-0.158775,0.167647,4000,-1410,0.764563,0.320328,0.181564,-1313,297.904,25.25
6011304,0.00345682,0.00625766,-0.00226003,4000,0,-9.81956,-0.180874,0.173771,4000,-5410,0.764563,0.320328,0.181564,-5313,297.904,25.25
6015304,0.00292471,0.00657692,-0.00204718,4000,0,-9.82859,-0.179915,0.185095,4000,-9410,0.764563,0.320328,0.181564,-9313,297.904,25.25
6019304,0.00229057,0.00636408,-0.00204718,4000,0,-9.83278,-0.184579,0.167226,4000,-3411,0.763873,0.316305,0.181646,-13313,297.904,25.25
6023304,0.00164765,0.00636408,-0.00204718,4000,0,-9.84237,-0.18711,0.169052,4000,-7411,0.763873,0.316305,0.181646,-17313,297.904,25.25
6027304,0.0023926,0.00636408,-0.00204718,4000,0,-9.85477,-0.178956,0.197857,4000,-1410,0.76464,0.318719,0.180155,-21313,297.904,25.25
6031304,0.00249902,0.00636408,-0.00257929,4000,0,-9.82432,-0.166004,0.175658,4000,-5410,0.76464,0.318719,0.180155,-3313,297.733,25.25
6035304,0.00260545,0.00711422,-0.0031114,4000,0,-9.8385,-0.158832,0.173368,4000,-9410,0.76464,0.318719,0.180155,-7313,297.733,25.25
6039353,0.00302985,0.00636408,-0.0031114,4049,0,-9.85237,-0.159844,0.181867,4049,-3450,0.76464,0.319523,0.178249,-362,297.733,25.25
6043304,0.00239261,0.00604745,-0.00225607,3951,0,-9.85423,-0.171316,0.172279,3951,-7401,0.76464,0.319523,0.178249,-4313,297.733,25.25
6047304,0.0023926,0.00667723,-0.00204718,4000,0,-9.87038,-0.177996,0.183571,4000,-1410,0.763106,0.319282,0.180901,-8313,297.733,25.25
6051350,0.0023926,0.0074283,-0.00204718,4046,0,-9.87028,-0.174148,0.188248,4046,-5456,0.763106,0.319282,0.180901,-1359,296.876,25.25
6055304,0.00185565,0.00657456,-0.00204718,3954,0,-9.85182,-0.164019,0.160976,3954,-9410,0.763106,0.319282,0.180901,-5313,296.876,25.25
6059344,0.00175407,0.00604797,-0.00289961,4040,0,-9.83859,-0.15396,0.164427,4040,-3451,0.764333,0.31349,0.179409,-9353,296.876,25.25
6063306,0.0014361,0.00583224,-0.00257956,3962,0,-9.83616,-0.142021,0.179918,3962,-7413,0.764333,0.31349,0.179409,-13315,296.876,25.25
6067304,0.0023926,0.00583357,-0.0031114,3998,0,-9.85373,-0.151584,0.159185,3998,-1410,0.76487,0.31888,0.178083,-17313,296.876,25.25
6071304,0.0023926,0.00615124,-0.0031114,4000,0,-9.8742,-0.166963,0.16103,4000,-5410,0.76487,0.31888,0.178083,-21313,296.876,25.25
6075304,0.00249903,0.00625766,-0.00300498,4000,0,-9.85569,-0.177966,0.170998,4000,-9410,0.76487,0.31888,0.178083,-3281,297.047,25.25
