timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
12077911,-0.00300113,0.000850096,-0.000440193,-0.323858,0.626044,0.348098,0.618072,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12110682,-0.00173046,-0.000643534,-0.000447446,-0.323781,0.626174,0.34718,0.618497,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12142707,-0.00182821,-0.000107726,0.000521482,-0.323875,0.626341,0.346299,0.618772,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12174771,-0.00214638,0.000956784,-0.00054083,-0.324105,0.626525,0.345475,0.618925,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12206726,-0.00214582,0.000423399,0.000309225,-0.324444,0.626733,0.344676,0.618983,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12240331,-0.0021438,0.000635867,-0.000540901,-0.324871,0.626951,0.343881,0.618981,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12272316,-0.00160874,-0.000204151,0.000521992,-0.325412,0.627184,0.343156,0.618863,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12304328,-0.00319596,0.000542572,0.000730977,-0.326068,0.62744,0.342539,0.6186,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12332437,-0.00244692,-0.00093849,-2.25622e-05,-0.326701,0.627681,0.342068,0.618282,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12364402,-0.00212443,-0.000621034,0.000499814,-0.327493,0.627962,0.341614,0.617829,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12396359,-0.00211193,3.83263e-05,-0.00036811,-0.328317,0.628244,0.341254,0.617303,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12429136,-0.00263529,-0.000275477,-0.00111976,-0.329169,0.628518,0.34097,0.616727,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12461098,-0.0028533,-5.88885e-05,-0.000494544,-0.330009,0.628785,0.340763,0.61612,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12493136,-0.00305899,-0.00110723,9.98867e-06,-0.330803,0.629035,0.340619,0.615518,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12521095,-0.00305224,0.000280529,-0.000747422,-0.331459,0.629235,0.340546,0.615002,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12553126,-0.00113303,8.38214e-05,-0.00130339,-0.332164,0.629437,0.340517,0.61443,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12585146,-0.00186769,0.00106018,0.000254917,-0.33282,0.62961,0.34051,0.613901,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12617877,-0.00239195,1.10599e-05,-0.000932891,-0.333402,0.629761,0.340545,0.613412,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12649907,-0.00259418,-0.000498923,0.00030305,-0.333899,0.629886,0.340598,0.612984,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12681917,-0.00130227,4.21689e-05,0.000934201,-0.334317,0.629984,0.340681,0.612608,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12713917,-0.00183351,5.28907e-05,-0.000694937,-0.334652,0.630045,0.340767,0.612315,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12741969,-0.0014848,0.00113668,-0.000306513,-0.334878,0.630064,0.340848,0.612126,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12773918,-0.00222853,-0.000123329,-0.000750102,-0.335066,0.630058,0.340936,0.61198,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12806063,-0.000505269,0.000100423,-0.000884336,-0.335175,0.630035,0.34103,0.611893,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12837912,-0.00240745,0.000218759,-0.000384736,-0.335214,0.62998,0.341129,0.611872,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12869916,-0.00101096,-0.000410129,3.29542e-05,-0.335178,0.629898,0.341234,0.611918,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12901911,-0.00195898,0.00119061,-0.00040542,-0.335089,0.629791,0.341325,0.612025,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12931482,-0.00195087,0.000218416,-0.000501049,-0.334969,0.629677,0.341397,0.61217,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12963527,-0.00012338,0.000877582,-0.000955475,-0.334774,0.629526,0.341472,0.612389,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
12995613,-0.00128281,0.000136849,-1.7304e-06,-0.334541,0.629367,0.341541,0.612641,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13027651,-0.000535041,0.00119475,-0.000959313,-0.334281,0.629191,0.341602,0.61293,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13059501,-0.00105086,0.000241864,0.000842643,-0.333984,0.629013,0.341659,0.613243,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13091613,-0.000819669,0.000139677,-0.000217785,-0.333669,0.628821,0.341704,0.613586,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13119496,-0.000698346,0.000142191,-0.000216326,-0.333373,0.628653,0.34174,0.613899,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13151559,-0.00229312,-0.000607992,-0.00159144,-0.333025,0.628459,0.341774,0.614267,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13183521,-0.0019643,0.000562126,-0.000942981,-0.332668,0.62827,0.341798,0.61464,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13216312,-0.00188049,-0.000941715,-0.000927038,-0.332286,0.628075,0.341823,0.615033,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13248333,-0.00251856,0.000647386,0.0011116,-0.331906,0.62789,0.341829,0.615423,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13280335,-0.00146223,0.00042344,-0.000687224,-0.331537,0.627709,0.341826,0.615808,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13312457,-0.00296744,0.000739192,0.00187487,-0.331158,0.627542,0.341812,0.616191,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13340375,-0.00125191,0.00115722,-0.000230536,-0.330833,0.62739,0.341793,0.616529,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13372330,-0.00152157,0.000731023,-0.00138806,-0.330465,0.627232,0.341774,0.616898,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13404295,-0.0020582,0.00114093,0.000222742,-0.330097,0.627093,0.341734,0.617259,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13436307,-0.00197044,0.000606468,-0.000618036,-0.329739,0.626965,0.341687,0.617606,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13468354,-0.00259792,0.000798569,-0.00092905,-0.3294,0.626841,0.341641,0.617938,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13500350,-0.00154864,5.84633e-05,-0.000284804,-0.32908,0.626731,0.341598,0.618244,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
13532386,-0.00197135,0.000165444,-0.000167568,-0.328785,0.626635,0.341552,0.618524,0.99998,-0.00635048,-0.000111616,9.99824e-05,2
