timestamp,load,ram_usage
5353790,0.348457,0.836592
6355268,0.297911,0.84358
7355990,0.32151,0.844117
8356072,0.323143,0.842505
9357601,0.326296,0.842035
10358638,0.335452,0.828664
11357990,0.353348,0.830948
12359668,0.39373,0.830948
13360058,0.403412,0.832561
14359990,0.393396,0.832561
15360990,0.394204,0.830948
16362044,0.394963,0.830343
17363422,0.401976,0.832561
18364106,0.396661,0.832561
19363990,0.390539,0.830948
20364165,0.400272,0.832561
21365058,0.40028,0.832561
22366829,0.392614,0.830948
23368714,0.397972,0.830343
24368990,0.40727,0.832561
25368990,0.396589,0.832561
26369990,0.395183,0.830948
27371817,0.392144,0.830343
28373077,0.402542,0.832561
