timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
5556304,32767,32767,32767,32767,32767,32767
5560304,32767,32767,32767,32767,32767,32767
5564304,32767,32767,32767,32767,32767,32767
5568304,32767,32767,32767,32767,32767,32767
5572303,32767,32767,32767,32767,32767,32767
5576304,32767,32767,32767,32767,32767,32767
5580304,32767,32767,32767,32767,32767,32767
5584304,32767,32767,32767,32767,32767,32767
5588314,32767,32767,32767,32767,32767,32767
5592304,32767,32767,32767,32767,32767,32767
5596304,32767,32767,32767,32767,32767,32767
5600304,32767,32767,32767,32767,32767,32767
5604304,32767,32767,32767,32767,32767,32767
5608330,32767,32767,32767,32767,32767,32767
5612304,32767,32767,32767,32767,32767,32767
5616304,32767,32767,32767,32767,32767,32767
5620304,32767,32767,32767,32767,32767,32767
5624348,32767,32767,32767,32767,32767,32767
5628341,32767,32767,32767,32767,32767,32767
5632304,32767,32767,32767,32767,32767,32767
5636304,32767,32767,32767,32767,32767,32767
5640304,32767,32767,32767,32767,32767,32767
5644304,32767,32767,32767,32767,32767,32767
5648320,32767,32767,32767,32767,32767,32767
5652304,32767,32767,32767,32767,32767,32767
5656304,32767,32767,32767,32767,32767,32767
5660304,32767,32767,32767,32767,32767,32767
5664304,32767,32767,32767,32767,32767,32767
5668304,32767,32767,32767,32767,32767,32767
5672304,32767,32767,32767,32767,32767,32767
5676304,32767,32767,32767,32767,32767,32767
5680304,32767,32767,32767,32767,32767,32767
5684304,32767,32767,32767,32767,32767,32767
5688304,32767,32767,32767,32767,32767,32767
5692304,32767,32767,32767,32767,32767,32767
5696304,32767,32767,32767,32767,32767,32767
5700304,32767,32767,32767,32767,32767,32767
5704304,32767,32767,32767,32767,32767,32767
5708348,32767,32767,32767,32767,32767,32767
5712304,32767,32767,32767,32767,32767,32767
5716322,32767,32767,32767,32767,32767,32767
5720304,32767,32767,32767,32767,32767,32767
5724304,32767,32767,32767,32767,32767,32767
5728304,32767,32767,32767,32767,32767,32767
5732304,32767,32767,32767,32767,32767,32767
5736306,32767,32767,32767,32767,32767,32767
5740304,32767,32767,32767,32767,32767,32767
5744311,32767,32767,32767,32767,32767,32767
5748304,32767,32767,32767,32767,32767,32767
5752304,32767,32767,32767,32767,32767,32767
5756330,32767,32767,32767,32767,32767,32767
5760304,32767,32767,32767,32767,32767,32767
5764304,32767,32767,32767,32767,32767,32767
5768304,32767,32767,32767,32767,32767,32767
5772304,32767,32767,32767,32767,32767,32767
5776303,32767,32767,32767,32767,32767,32767
5780304,32767,32767,32767,32767,32767,32767
5784304,32767,32767,32767,32767,32767,32767
5788304,32767,32767,32767,32767,32767,32767
5792348,32767,32767,32767,32767,32767,32767
5796324,32767,32767,32767,32767,32767,32767
5800304,32767,32767,32767,32767,32767,32767
5804304,32767,32767,32767,32767,32767,32767
5808304,32767,32767,32767,32767,32767,32767
5812304,32767,32767,32767,32767,32767,32767
5816304,32767,32767,32767,32767,32767,32767
5820304,32767,32767,32767,32767,32767,32767
5824304,32767,32767,32767,32767,32767,32767
5828304,32767,32767,32767,32767,32767,32767
5832304,32767,32767,32767,32767,32767,32767
5836303,32767,32767,32767,32767,32767,32767
5840304,32767,32767,32767,32767,32767,32767
5844304,32767,32767,32767,32767,32767,32767
5848304,32767,32767,32767,32767,32767,32767
5852304,32767,32767,32767,32767,32767,32767
5856304,32767,32767,32767,32767,32767,32767
5860304,32767,32767,32767,32767,32767,32767
5864304,32767,32767,32767,32767,32767,32767
5868304,32767,32767,32767,32767,32767,32767
5872304,32767,32767,32767,32767,32767,32767
5876334,32767,32767,32767,32767,32767,32767
5880303,32767,32767,32767,32767,32767,32767
5884322,32767,32767,32767,32767,32767,32767
5888304,32767,32767,32767,32767,32767,32767
5892304,32767,32767,32767,32767,32767,32767
5896304,32767,32767,32767,32767,32767,32767
5900304,32767,32767,32767,32767,32767,32767
5904331,32767,32767,32767,32767,32767,32767
5908304,32767,32767,32767,32767,32767,32767
5912304,32767,32767,32767,32767,32767,32767
5916304,32767,32767,32767,32767,32767,32767
5920304,32767,32767,32767,32767,32767,32767
