timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
5556304,0.00313756,0.0074283,-0.00300498,4000,0,-0.121031,9.75148,0.0487249,4000,-7383,0.246573,-0.764477,0.242716,-6301,298.504,27.96
5560304,0.00314368,0.0074283,-0.0010955,4000,0,-0.119158,9.7611,0.0241605,4000,-1375,0.244195,-0.764396,0.242882,-10301,298.504,27.96
5564304,0.00420191,0.00774756,-0.000982964,4000,0,-0.10345,9.76203,0.0279626,4000,-5375,0.244195,-0.764396,0.242882,-3304,298.761,27.96
5568304,0.00377356,0.0074283,-0.0012997,4000,0,-0.0982136,9.75728,0.0431268,4000,-9375,0.244195,-0.764396,0.242882,-7304,298.761,27.96
5572303,0.00366972,0.00785396,-0.00215349,3999,0,-0.109627,9.75723,0.0388132,3999,-3409,0.244886,-0.76327,0.24197,-11303,298.761,27.96
5576304,0.00345682,0.0074283,-0.00437498,4001,0,-0.104488,9.76494,0.0346254,4001,-7410,0.244886,-0.76327,0.24197,-15304,298.761,27.96
5580304,0.00408937,0.0074283,-0.00354308,4000,0,-0.101129,9.76867,0.0163517,4000,-1409,0.243198,-0.767855,0.242219,-19304,298.761,27.96
5584304,0.00420205,0.0074283,-0.00257929,4000,0,-0.114377,9.76587,0.00861241,4000,-5409,0.243198,-0.767855,0.242219,-1302,298.675,27.96
5588314,0.00346292,0.0074283,-0.00236392,4010,0,-0.123893,9.7582,0.0119302,4010,-9419,0.243198,-0.767855,0.242219,-5312,298.675,27.96
5592304,0.00271267,0.0074283,-0.0027972,3990,0,-0.119107,9.76159,0.00148586,3990,-3410,0.244655,-0.764718,0.242882,-9302,298.675,27.96
5596304,0.0033504,0.0074283,-0.0023719,4000,0,-0.116284,9.75727,0.0283962,4000,-7410,0.244655,-0.764718,0.242882,-2294,299.018,27.96
5600304,0.00271187,0.0074283,-0.00204718,4000,0,-0.114854,9.74428,0.0440062,4000,-1409,0.241817,-0.765442,0.241887,-6294,299.018,27.96
5604304,0.00408884,0.0074283,-0.00226003,4000,0,-0.107844,9.75949,0.00601594,4000,-5409,0.241817,-0.765442,0.241887,-10294,299.018,27.96
5608330,0.00441769,0.00753165,-0.00204718,4026,0,-0.102058,9.76585,-0.0155695,4026,-9435,0.241817,-0.765442,0.241887,-3339,298.59,27.96
5612304,0.00271048,0.00849252,-0.00247565,3974,0,-0.109634,9.77784,-0.00644377,3974,-3410,0.244272,-0.764798,0.24371,-7313,298.59,27.96
5616304,0.00314022,0.00849252,-0.00215294,4000,0,-0.118661,9.77499,0.0151749,4000,-7410,0.244272,-0.764798,0.24371,-11313,298.59,27.96
5620304,0.00271187,0.00849252,-0.00332425,4000,0,-0.129583,9.77306,0.0322095,4000,-1409,0.245269,-0.764557,0.241804,-15313,298.59,27.96
5624348,0.00345682,0.00849252,-0.00300035,4044,0,-0.135723,9.75095,0.027101,4044,-5453,0.245269,-0.764557,0.241804,-19357,298.59,27.96
5628341,0.00345682,0.00870574,-0.00215872,3993,0,-0.11573,9.74236,0.0613471,3993,-9446,0.245269,-0.764557,0.241804,-1350,298.59,27.96
5632304,0.00291974,0.00849252,-0.00279412,3963,0,-0.117221,9.75102,0.0679879,3963,-3410,0.243428,-0.766568,0.241307,-5313,298.59,27.96
5636304,0.0033504,0.00849252,-0.00226003,4000,0,-0.0996379,9.75196,0.0515325,4000,-7410,0.243428,-0.766568,0.241307,-9313,298.59,27.96
5640304,0.00441462,0.0083861,-0.00268571,4000,0,-0.111528,9.75771,0.0340969,4000,-1409,0.243121,-0.767051,0.241307,-2313,299.104,27.96
5644304,0.00293189,0.0074283,-0.00363632,4000,0,-0.123818,9.76582,0.0214131,4000,-5409,0.243121,-0.767051,0.241307,-6313,299.104,27.96
5648320,0.00228449,0.0074283,-0.00364139,4016,0,-0.133371,9.77735,-0.00550256,4016,-9425,0.243121,-0.767051,0.241307,-10329,299.104,27.96
5652304,0.00186023,0.00753515,-0.00279086,3984,0,-0.125776,9.76731,0.0227578,3984,-3410,0.244195,-0.761581,0.239319,-3292,298.932,27.96
5656304,0.00270921,0.00838876,-0.00108407,4000,0,-0.104377,9.76924,0.0401959,4000,-7410,0.244195,-0.761581,0.239319,-7292,298.932,27.96
