timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.104791,0.0489525
0,0.111248,0.050496
0,0.108909,0.0491944
0,0.100724,0.0467587
0,0.0963957,0.0479
0,0.0931238,0.0464504
0,0.0985093,0.0451848
0,0.0797759,0.0439398
0,0.0830392,0.0490162
0,0.0709508,0.0461479
0,0.106248,0.0467468
0,0.107309,0.0455543
0,0.0811821,0.047548
0,0.0995063,0.046756
0,0.10592,0.0466508
0,0.106338,0.0459391
0,0.104627,0.0464037
0,0.106815,0.0481133
0,0.10083,0.0461574
0,0.0917155,0.0457085
0,0.102783,0.048671
0,0.115454,0.0486578
0,0.117274,0.0462449
0,0.114721,0.0486303
0,0.103142,0.0469303
0,0.0943248,0.0466067
0,0.112798,0.046951
0,0.0963976,0.0472905
0,0.089628,0.048387
0,0.111536,0.0470225
0,0.110455,0.0478415
0,0.100793,0.0480181
0,0.0841763,0.0468586
0,0.0939327,0.0470021
0,0.0974178,0.0479984
0,0.114117,0.0479698
0,0.0853394,0.0475139
0,0.0990791,0.048183
0,0.120111,0.0469488
0,0.0777215,0.0467655
0,0.0828935,0.0473053
0,0.0832527,0.0478546
0,0.0958046,0.047542
0,0.0888321,0.0475431
0,0.10348,0.0491727
0,0.103651,0.0475424
0,0.103602,0.0489562
0,0.109188,0.046906
0,0.111852,0.0475866
0,0.109373,0.0462738
0,0.101326,0.0461588
0,0.0870567,0.044988
0,0.113325,0.0451439
0,0.0975676,0.0456546
0,0.109149,0.0495632
0,0.103338,0.0462705
0,0.0811845,0.0461686
0,0.0850578,0.0452083
0,0.112171,0.049015
0,0.0821726,0.0463266
0,0.0973973,0.0440237
0,0.0974578,0.0464414
0,0.11581,0.0459017
0,0.0948255,0.0439396
0,0.0882981,0.0434161
0,0.0735875,0.0452094
0,0.0933628,0.0455143
0,0.0984584,0.0435849
0,0.0887105,0.0452171
0,0.111274,0.0438706
0,0.117047,0.0451781
0,0.103372,0.0447516
0,0.107276,0.0447309
0,0.0833226,0.0440177
0,0.107329,0.0449333
0,0.0902349,0.0461102
0,0.0893337,0.0444878
0,0.109947,0.0466126
0,0.0946686,0.0461694
0,0.106967,0.0452139
0,0.125197,0.0446064
0,0.135918,0.0471584
0,0.101746,0.0433566
0,0.106459,0.0458901
0,0.0900535,0.0481069
0,0.0797585,0.0460053
0,0.10592,0.0480958
0,0.108556,0.0485227
0,0.108816,0.0492116
0,0.12033,0.0441952
0,0.10782,0.0458998
0,0.114087,0.0435699
0,0.102149,0.0461481
0,0.10747,0.0443451
0,0.0937596,0.0473842
0,0.110625,0.0449343
0,0.10615,0.0467569
0,0.11032,0.0487597
0,0.108441,0.0453598
0,0.0986778,0.0464607
0,0.0899941,0.0470912
0,0.113926,0.0449812
0,0.109611,0.0470854
0,0.0952753,0.0474333
0,0.111696,0.0463347
0,0.10901,0.0455977
0,0.105611,0.0458951
0,0.0992307,0.045671
0,0.11669,0.0430734
0,0.109727,0.0452854
0,0.0986168,0.0456378
0,0.125041,0.0454142
0,0.107073,0.0437755
