timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
11089293,-0.00032075,-0.000475393,-0.000200875,0.65262,-0.647798,0.262967,-0.292049,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11121363,0.000854958,0.000587052,0.000434132,0.652388,-0.648533,0.263407,-0.290537,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11153324,0.00094857,-0.00111688,-0.000313553,0.652114,-0.649247,0.263833,-0.289167,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11185378,0.000628808,0.00048426,0.000763018,0.651789,-0.649948,0.26427,-0.287923,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11217311,0.00116072,-0.00164881,1.05686e-05,0.651429,-0.650627,0.264715,-0.286795,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11249356,0.00147849,0.000594451,0.00043832,0.651031,-0.651293,0.265173,-0.285761,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11281419,0.00168546,-0.00121859,0.00119694,0.650588,-0.651932,0.265611,-0.284905,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11313382,0.000510674,-0.000464662,-0.000293935,0.650113,-0.652506,0.26602,-0.284292,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11345412,0.000505054,0.00049975,0.000150062,0.64964,-0.653003,0.266382,-0.283895,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11377404,0.000609195,-0.000129884,0.00133957,0.649176,-0.65342,0.266708,-0.283691,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11410212,7.09009e-05,0.000614934,0.000499573,0.648712,-0.653767,0.267003,-0.283673,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11442151,0.00165988,0.000630337,6.76839e-06,0.648273,-0.654028,0.267238,-0.283854,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11470137,0.00208898,0.000636554,0.000672475,0.647908,-0.654202,0.267417,-0.28412,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11502268,4.72949e-05,-0.0001009,0.000710597,0.647517,-0.654352,0.267581,-0.284511,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11534093,-0.000385645,0.000651741,-0.000430804,0.647155,-0.654452,0.26772,-0.284972,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11566107,0.000885153,0.000138151,-0.000399007,0.646822,-0.6545,0.267828,-0.285515,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11598098,1.97755e-05,0.000264657,0.00042154,0.646519,-0.654504,0.26792,-0.286105,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11630149,0.000748447,-0.000136057,0.000694158,0.646239,-0.654485,0.267995,-0.286713,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11662188,0.000528248,0.00116302,0.001582,0.645988,-0.654436,0.268062,-0.287325,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11694183,-0.000333309,0.000758275,-0.000174213,0.645766,-0.654368,0.268128,-0.287916,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11722127,0.00157483,0.000875588,0.000393608,0.645598,-0.654294,0.268182,-0.288412,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11754211,0.000807597,0.000796165,-6.85665e-05,0.645437,-0.654202,0.268242,-0.288925,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11787800,-0.000759006,-0.000121024,0.00108218,0.645296,-0.654102,0.268332,-0.289382,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11819893,-0.000594379,0.000893722,0.000807133,0.64517,-0.654,0.268435,-0.289798,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11851747,0.000141439,-0.00014361,0.00106089,0.645064,-0.653902,0.268545,-0.290151,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11879818,-0.000514278,-0.000214239,0.000467881,0.644989,-0.653821,0.268655,-0.290399,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11911747,0.000446491,0.000466291,0.000938454,0.644927,-0.653721,0.268794,-0.290632,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11944590,-0.000938263,0.00126705,0.00129374,0.644879,-0.653634,0.268955,-0.290787,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
11976506,-0.000196687,0.000374109,0.00165467,0.644853,-0.653545,0.269143,-0.290871,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12008508,0.000539694,0.000313496,0.00115018,0.644837,-0.653457,0.269355,-0.290907,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12040510,0.00149159,0.00124364,0.00140446,0.644838,-0.653369,0.269579,-0.290896,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12072603,0.000952746,0.000330481,0.000356349,0.644848,-0.653287,0.269816,-0.290838,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12105293,0.000603131,0.000461292,0.000550999,0.644863,-0.653207,0.270086,-0.290733,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12138948,-0.00011056,0.000253455,0.0014572,0.64489,-0.653132,0.270367,-0.290582,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12167094,-0.00085274,0.00160234,0.00145896,0.644907,-0.653074,0.270625,-0.290433,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12198914,-0.000534025,0.00098685,0.000931764,0.644938,-0.653011,0.270925,-0.290228,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12231023,0.000528725,0.000595065,0.00177633,0.644972,-0.652949,0.271222,-0.290014,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12263003,-0.000524653,0.00149935,0.000911328,0.645013,-0.652883,0.27152,-0.28979,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12294957,0.000975038,0.00177827,0.0014317,0.645062,-0.652823,0.271815,-0.289541,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12326895,0.000124033,0.00212942,0.00142545,0.64511,-0.652764,0.272117,-0.289283,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12358914,0.00109027,0.0017285,0.000461485,0.645163,-0.652704,0.272403,-0.289032,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12390977,0.000665284,0.00071646,0.000970307,0.645215,-0.652652,0.272676,-0.288775,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12422936,0.000457111,-1.13682e-05,0.00138487,0.645271,-0.65261,0.272927,-0.288509,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12455720,0.000460216,0.00255498,0.00179692,0.645332,-0.652559,0.273177,-0.28825,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12487682,-0.000489098,0.00181822,0.000703494,0.645392,-0.652512,0.273404,-0.288004,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12519826,0.000359557,0.00182493,0.00155246,0.645446,-0.652477,0.273615,-0.287765,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12551734,0.000473987,0.000138894,0.000244519,0.6455,-0.652448,0.273801,-0.287532,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12579911,0.00154211,0.00182993,0.00128981,0.645561,-0.652413,0.273949,-0.287335,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12611807,-0.000580791,0.00129518,0.00148242,0.64562,-0.652388,0.274107,-0.287109,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12643793,0.000805283,0.00170724,0.000487416,0.64568,-0.652369,0.274244,-0.286884,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12675698,0.000493041,0.00138365,0.000371821,0.645741,-0.652351,0.274361,-0.286676,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12707796,0.00102952,0.00169016,0.000141991,0.645803,-0.652335,0.274467,-0.286472,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
12739859,0.000287208,0.00178725,0.00117825,0.645857,-0.652324,0.274566,-0.28628,0.999963,0.000100317,-0.00861691,-2.43945e-05,4
