timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
11089293,0,0.0,0.0,0.0,0.0,-0.0330512,0.0,0.0,0.0,0.0362979,0.0221098,-0.0116841,-0.0349674,0.0,0.0,0.0,-0.80718,0.0,0.127815,0.0116841,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11193471,0,0.0,0.0,0.0,0.0,-0.0305741,0.0,0.0,0.0,0.0658623,0.0213488,-0.00900937,-0.0279998,0.0,0.0,0.0,-0.802331,0.0,0.13284,0.00900937,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11293357,0,0.0,0.0,0.0,0.0,-0.0174109,0.0,0.0,0.0,0.0891855,0.0158623,0.0013144,-0.00412937,0.0,0.0,0.0,-0.799704,0.0,0.13809,-0.0013144,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11394175,0,0.0,0.0,0.0,0.0,-0.00933042,0.0,0.0,0.0,0.103143,0.00597027,0.00650078,0.00686894,0.0,0.0,0.0,-0.799792,0.0,0.112048,-0.00650078,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11498155,0,0.0,0.0,0.0,0.0,-0.00922801,0.0,0.0,0.0,0.113896,-0.0110735,0.0054624,0.00249051,0.0,0.0,0.0,-0.802071,0.0,0.102999,-0.0054624,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11602272,0,0.0,0.0,0.0,0.0,-0.00930587,0.0,0.0,0.0,0.127257,-0.0303081,0.0053138,9.4925e-05,0.0,0.0,0.0,-0.805291,0.0,0.115306,-0.0053138,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11702121,0,0.0,0.0,0.0,0.0,-0.000902819,0.0,0.0,0.0,0.143366,-0.0513955,0.010404,0.0115422,0.0,0.0,0.0,-0.808533,0.0,0.118979,-0.010404,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11803748,0,0.0,0.0,0.0,0.0,0.00425702,0.0,0.0,0.0,0.159967,-0.069991,0.0129514,0.0161676,0.0,0.0,0.0,-0.811276,0.0,0.11004,-0.0129514,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11907705,0,0.0,0.0,0.0,0.0,0.00521221,0.0,0.0,0.0,0.174538,-0.0860351,0.0125978,0.013001,0.0,0.0,0.0,-0.813453,0.0,0.1,-0.0125978,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12008508,0,0.0,0.0,0.0,0.0,0.00105108,0.0,0.0,0.0,0.183143,-0.0969222,0.00930321,0.00270751,0.0,0.0,0.0,-0.814803,0.0,0.1,-0.00930321,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12109357,0,0.0,0.0,0.0,0.0,-0.00983108,0.0,0.0,0.0,0.186296,-0.101455,0.00203235,-0.0165836,0.0,0.0,0.0,-0.815676,0.0,0.1,-0.00203235,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12211076,0,0.0,0.0,0.0,0.0,-0.026552,0.0,0.0,0.0,0.179432,-0.0997688,-0.00891141,-0.0421431,0.0,0.0,0.0,-0.8162,0.0,0.1,0.00891141,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12310990,0,0.0,0.0,0.0,0.0,-0.0378327,0.0,0.0,0.0,0.169556,-0.0946352,-0.015112,-0.0549562,0.0,0.0,0.0,-0.816472,0.0,0.1,0.015112,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12414882,0,0.0,0.0,0.0,0.0,-0.0437573,0.0,0.0,0.0,0.151539,-0.0854215,-0.0167802,-0.0558138,0.0,0.0,0.0,-0.816544,0.0,0.104903,0.0167802,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12515768,0,0.0,0.0,0.0,0.0,-0.0420681,0.0,0.0,0.0,0.133952,-0.0766006,-0.0150633,-0.04658,0.0,0.0,0.0,-0.81644,0.0,0.12487,0.0150633,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12615712,0,0.0,0.0,0.0,0.0,-0.0422237,0.0,0.0,0.0,0.116518,-0.0664058,-0.0139233,-0.041276,0.0,0.0,0.0,-0.816155,0.0,0.109494,0.0139233,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12719744,0,0.0,0.0,0.0,0.0,-0.0411751,0.0,0.0,0.0,0.0974764,-0.0534864,-0.0120579,-0.0346183,0.0,0.0,0.0,-0.81568,0.0,0.107407,0.0120579,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12819742,0,0.0,0.0,0.0,0.0,-0.0414499,0.0,0.0,0.0,0.0824429,-0.0438343,-0.0114651,-0.0315723,0.0,0.0,0.0,-0.815194,0.0,0.114163,0.0114651,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12919734,0,0.0,0.0,0.0,0.0,-0.0405313,0.0,0.0,0.0,0.0663757,-0.0323625,-0.0109599,-0.0277334,0.0,0.0,0.0,-0.814754,0.0,0.108494,0.0109599,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
