timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
5854731,32767,32767,32767,32767,32767,32767
5858704,32767,32767,32767,32767,32767,32767
5862704,32767,32767,32767,32767,32767,32767
5866704,32767,32767,32767,32767,32767,32767
5870704,32767,32767,32767,32767,32767,32767
5874719,32767,32767,32767,32767,32767,32767
5878713,32767,32767,32767,32767,32767,32767
5882730,32767,32767,32767,32767,32767,32767
5886704,32767,32767,32767,32767,32767,32767
5890704,32767,32767,32767,32767,32767,32767
5894716,32767,32767,32767,32767,32767,32767
5898704,32767,32767,32767,32767,32767,32767
5902704,32767,32767,32767,32767,32767,32767
5906704,32767,32767,32767,32767,32767,32767
5910704,32767,32767,32767,32767,32767,32767
5914704,32767,32767,32767,32767,32767,32767
5918704,32767,32767,32767,32767,32767,32767
5922704,32767,32767,32767,32767,32767,32767
5926704,32767,32767,32767,32767,32767,32767
5930704,32767,32767,32767,32767,32767,32767
5934713,32767,32767,32767,32767,32767,32767
5938704,32767,32767,32767,32767,32767,32767
5942727,32767,32767,32767,32767,32767,32767
5946704,32767,32767,32767,32767,32767,32767
5950704,32767,32767,32767,32767,32767,32767
5954704,32767,32767,32767,32767,32767,32767
5958705,32767,32767,32767,32767,32767,32767
5962748,32767,32767,32767,32767,32767,32767
5966704,32767,32767,32767,32767,32767,32767
5970704,32767,32767,32767,32767,32767,32767
5974704,32767,32767,32767,32767,32767,32767
5978716,32767,32767,32767,32767,32767,32767
5982706,32767,32767,32767,32767,32767,32767
5986704,32767,32767,32767,32767,32767,32767
5990704,32767,32767,32767,32767,32767,32767
5994704,32767,32767,32767,32767,32767,32767
5998704,32767,32767,32767,32767,32767,32767
6002726,32767,32767,32767,32767,32767,32767
6006704,32767,32767,32767,32767,32767,32767
6010704,32767,32767,32767,32767,32767,32767
6014704,32767,32767,32767,32767,32767,32767
6018704,32767,32767,32767,32767,32767,32767
6022704,32767,32767,32767,32767,32767,32767
6026704,32767,32767,32767,32767,32767,32767
6030704,32767,32767,32767,32767,32767,32767
6034704,32767,32767,32767,32767,32767,32767
6038704,32767,32767,32767,32767,32767,32767
6042705,32767,32767,32767,32767,32767,32767
6046704,32767,32767,32767,32767,32767,32767
6050704,32767,32767,32767,32767,32767,32767
6054730,32767,32767,32767,32767,32767,32767
6058704,32767,32767,32767,32767,32767,32767
6062720,32767,32767,32767,32767,32767,32767
6066704,32767,32767,32767,32767,32767,32767
6070716,32767,32767,32767,32767,32767,32767
6074704,32767,32767,32767,32767,32767,32767
6078704,32767,32767,32767,32767,32767,32767
6082704,32767,32767,32767,32767,32767,32767
6086704,32767,32767,32767,32767,32767,32767
6090723,32767,32767,32767,32767,32767,32767
6094704,32767,32767,32767,32767,32767,32767
6098704,32767,32767,32767,32767,32767,32767
6102704,32767,32767,32767,32767,32767,32767
6106704,32767,32767,32767,32767,32767,32767
6110743,32767,32767,32767,32767,32767,32767
6114704,32767,32767,32767,32767,32767,32767
6118704,32767,32767,32767,32767,32767,32767
6122704,32767,32767,32767,32767,32767,32767
6126705,32767,32767,32767,32767,32767,32767
6130724,32767,32767,32767,32767,32767,32767
6134704,32767,32767,32767,32767,32767,32767
6138704,32767,32767,32767,32767,32767,32767
6142704,32767,32767,32767,32767,32767,32767
6146719,32767,32767,32767,32767,32767,32767
6150704,32767,32767,32767,32767,32767,32767
6154704,32767,32767,32767,32767,32767,32767
6158704,32767,32767,32767,32767,32767,32767
6162704,32767,32767,32767,32767,32767,32767
6166704,32767,32767,32767,32767,32767,32767
6170714,32767,32767,32767,32767,32767,32767
6174704,32767,32767,32767,32767,32767,32767
6178704,32767,32767,32767,32767,32767,32767
6182704,32767,32767,32767,32767,32767,32767
6186707,32767,32767,32767,32767,32767,32767
6190704,32767,32767,32767,32767,32767,32767
6194708,32767,32767,32767,32767,32767,32767
6198704,32767,32767,32767,32767,32767,32767
6202704,32767,32767,32767,32767,32767,32767
6206704,32767,32767,32767,32767,32767,32767
6210705,32767,32767,32767,32767,32767,32767
6214704,32767,32767,32767,32767,32767,32767
6218715,32767,32767,32767,32767,32767,32767
6222704,32767,32767,32767,32767,32767,32767
6226704,32767,32767,32767,32767,32767,32767
6230716,32767,32767,32767,32767,32767,32767
6234704,32767,32767,32767,32767,32767,32767
6238737,32767,32767,32767,32767,32767,32767
6242704,32767,32767,32767,32767,32767,32767
6246704,32767,32767,32767,32767,32767,32767
6250704,32767,32767,32767,32767,32767,32767
6254704,32767,32767,32767,32767,32767,32767
6258706,32767,32767,32767,32767,32767,32767
6262704,32767,32767,32767,32767,32767,32767
6266704,32767,32767,32767,32767,32767,32767
6270704,32767,32767,32767,32767,32767,32767
6274704,32767,32767,32767,32767,32767,32767
6278716,32767,32767,32767,32767,32767,32767
