timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
5854731,0.00345682,0.00625837,-0.0031114,4027,0,-0.0507168,-0.0609338,-9.79552,4027,-3855,-0.327957,0.307617,0.632997,-2723,297.133,24.32
5858704,0.00270708,0.00636408,-0.00246692,3973,0,-0.0411899,-0.0821468,-9.8025,3973,-7828,-0.327957,0.307617,0.632997,-6696,297.133,24.32
5862704,0.0023926,0.00626125,-0.00300857,4000,0,-0.0264463,-0.0858967,-9.79781,4000,-1838,-0.324198,0.307296,0.63366,-10696,297.133,24.32
5866704,0.00154123,0.00529986,-0.00204718,4000,0,-0.0473845,-0.0647906,-9.81195,4000,-5838,-0.324198,0.307296,0.63366,-3688,297.047,24.32
5870704,0.00260052,0.00604455,-0.0025741,4000,0,-0.037928,-0.0825341,-9.79878,4000,-9838,-0.324198,0.307296,0.63366,-7688,297.047,24.32
5874719,0.00345682,0.00711023,-0.0031114,4015,0,-0.0417023,-0.0854403,-9.78266,4015,-3835,-0.323047,0.303756,0.631589,-679,296.705,24.32
5878713,0.00313601,0.00657418,-0.0031114,3994,0,-0.0563961,-0.0805874,-9.76949,3994,-7829,-0.323047,0.303756,0.631589,-4673,296.705,24.32
5882730,0.00270814,0.0062593,-0.00300556,4017,0,-0.0621263,-0.0893118,-9.77661,4017,-1864,-0.325118,0.302871,0.63308,-8690,296.705,24.32
5886704,0.00143202,0.00679255,-0.00300776,3974,0,-0.049285,-0.0998295,-9.76751,3974,-5838,-0.325118,0.302871,0.63308,-12664,296.705,24.32
5890704,0.00207041,0.00626351,-0.0031114,4000,0,-0.0507497,-0.0931052,-9.75438,4000,-9838,-0.325118,0.302871,0.63308,-16664,296.705,24.32
5894716,0.0023926,0.00487226,-0.00300371,4012,0,-0.0407439,-0.0902098,-9.75105,4012,-3849,-0.322893,0.303354,0.633329,-20676,296.705,24.32
5898704,0.0023926,0.00434238,-0.00204718,3988,0,-0.0412173,-0.0854524,-9.76849,3988,-7837,-0.322893,0.303354,0.633329,-2695,296.876,24.32
5902704,0.0019717,0.00582239,-0.00256971,4000,0,-0.0302367,-0.095512,-9.79786,4000,-1838,-0.323584,0.305928,0.632666,-6695,296.876,24.32
5906704,0.00132838,0.00668334,-0.00460131,4000,0,-0.0359812,-0.093092,-9.78458,4000,-5838,-0.323584,0.305928,0.632666,-10695,296.876,24.32
5910704,0.00132838,0.00551403,-0.00353523,4000,0,-0.0469117,-0.0955132,-9.76289,4000,-9838,-0.323584,0.305928,0.632666,-3661,297.133,24.32
5914704,0.00143481,0.00593839,-0.00417562,4000,0,-0.0582984,-0.0859039,-9.77889,4000,-3837,-0.329184,0.3044,0.633412,-7661,297.133,24.32
5918704,0.00260545,0.00615097,-0.0027924,4000,0,-0.0516667,-0.100285,-9.7959,4000,-7837,-0.329184,0.3044,0.633412,-696,296.534,24.32
5922704,0.00207334,0.00615137,-0.00343053,4000,0,-0.0374036,-0.0739058,-9.77939,4000,-1802,-0.325809,0.307215,0.632583,-4696,296.534,24.32
5926704,0.0023926,0.00529986,-0.00375632,4000,0,-0.0587878,-0.0470135,-9.79982,4000,-5802,-0.325809,0.307215,0.632583,-8696,296.534,24.32
