timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
11700613,0.00161487,-0.000358526,-0.00539895,0.350929,-0.000858395,-0.00461975,-0.93639,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
11732558,0.00108489,7.08047e-05,-0.00571477,0.350704,-0.000850519,-0.00463386,-0.936475,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
11765326,-0.00104614,0.000607864,-0.00603809,0.350489,-0.000847482,-0.00462989,-0.936555,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
11797423,0.000235464,-0.000239902,-0.00582722,0.350234,-0.000845596,-0.00463142,-0.93665,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
11826874,0.000122495,0.000285816,-0.00518808,0.350007,-0.000838036,-0.00463792,-0.936735,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
11858913,0.000762664,7.5798e-05,-0.00539817,0.349738,-0.00083285,-0.00464181,-0.936836,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
11890962,0.000120211,-3.00836e-05,-0.00487241,0.349512,-0.000836715,-0.00465121,-0.93692,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
11923041,0.00118219,0.000183464,-0.00603516,0.349306,-0.000829764,-0.00466986,-0.936997,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
11954963,0.000439604,-0.000657099,-0.00645933,0.349124,-0.000828638,-0.00467928,-0.937065,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
11986931,0.000435272,0.000404745,-0.00560613,0.34898,-0.000830043,-0.00469113,-0.937118,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12018911,0.000116667,0.00105324,-0.0060299,0.348874,-0.000820499,-0.00468982,-0.937158,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12050986,0.000221599,-0.000968707,-0.00570835,0.34879,-0.00082794,-0.00469287,-0.937189,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12082896,-0.000525156,0.000734826,-0.00645334,0.348727,-0.000818419,-0.00469401,-0.937212,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12114942,0.000111107,-0.000433112,-0.0065589,0.348671,-0.000819542,-0.00469186,-0.937233,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12146925,0.00181006,0.000733522,-0.00645297,0.348631,-0.000815661,-0.00469794,-0.937248,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12178950,0.00117144,0.00116686,-0.00624249,0.34859,-0.00080309,-0.00469978,-0.937263,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12210923,-7.09435e-07,0.000843742,-0.00645167,0.348556,-0.000796485,-0.00469735,-0.937276,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12238955,0.000104259,-0.000963437,-0.00591934,0.348547,-0.000796273,-0.00468603,-0.937279,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12270921,0.0008501,0.000744389,-0.00538535,0.348536,-0.000795345,-0.00469769,-0.937283,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12302947,-0.000964902,0.000424017,-0.00559564,0.348518,-0.000800206,-0.00469815,-0.93729,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12334942,0.000736629,-0.000959311,-0.00655312,0.348502,-0.000797537,-0.00470225,-0.937296,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12366947,0.00126523,0.00116951,-0.00613376,0.348487,-0.000784165,-0.00471092,-0.937301,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12399723,0.000724393,0.000106727,-0.00644358,0.348463,-0.000788508,-0.00470809,-0.93731,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12431708,0.00105131,-0.00116328,-0.0062284,0.348448,-0.000790121,-0.00471006,-0.937316,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12463741,-0.00128912,0.00138052,-0.00537996,0.348428,-0.00078314,-0.00471106,-0.937323,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12495735,-0.000124001,0.000531518,-0.00591481,0.34839,-0.000770607,-0.00471544,-0.937338,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12527702,8.86475e-05,0.000110131,-0.00590659,0.348353,-0.00077378,-0.00471662,-0.937351,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12559692,-0.00171999,-9.85707e-05,-0.00590832,0.348304,-0.000778546,-0.00471246,-0.93737,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12591755,0.000937866,0.00011475,-0.00654673,0.348239,-0.00076967,-0.00471228,-0.937394,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12623740,-0.000977468,-0.000949218,-0.00483789,0.34819,-0.000772245,-0.00470955,-0.937412,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12651875,0.000193894,6.84289e-06,-0.00589944,0.348148,-0.000768945,-0.00470547,-0.937427,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12683724,-0.000665435,0.00086534,-0.00547926,0.348094,-0.000760668,-0.00471103,-0.937447,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12715768,-0.000129795,0.000751263,-0.00685017,0.34802,-0.000761006,-0.00470729,-0.937475,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12747771,0.000297106,-0.000734927,-0.00631237,0.347969,-0.000759765,-0.00471494,-0.937494,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12781385,-0.00066558,-9.4092e-05,-0.00523152,0.34791,-0.000745962,-0.00471287,-0.937516,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12809327,0.0011457,0.000114804,-0.00565476,0.347867,-0.000748701,-0.00471484,-0.937532,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12841307,-0.000878153,-9.96059e-05,-0.00532821,0.347831,-0.000747757,-0.00470622,-0.937545,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12873333,-0.000769477,0.0010736,-0.00532441,0.347798,-0.000743325,-0.00470398,-0.937558,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12905349,-0.000660797,-0.000310207,-0.00563834,0.347765,-0.000739246,-0.00469749,-0.93757,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
12937377,0.000294513,-0.000630047,-0.00605481,0.347726,-0.000729894,-0.00469152,-0.937584,0.999997,1.1384e-05,1.91957e-05,0.00236559,4
