timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
5979435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
6483470,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
6989078,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
7493101,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
7997078,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
8490669,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
8994741,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
9498669,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
9990657,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
10496282,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11000283,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11492337,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11996246,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
12501937,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
12993949,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
13497823,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14001820,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14495515,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14999440,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
15503450,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
15997154,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
16501094,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
17005076,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
17497082,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
18002731,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
18506694,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
18998731,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
19504292,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
20008256,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
20500340,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
21004298,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
21509835,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
22001835,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
22505919,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
23011435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
23503475,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
24007420,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
24513058,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
