timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
11869181,0.00480171,0.089959,0.00738844,0.225291,0.00277485,-0.043353,-0.973323,0.999877,-0.000510053,-0.00124639,-0.0156183,4
11901161,-0.000203536,0.0810203,0.0101627,0.226896,0.00395965,-0.0429751,-0.972962,0.999877,-0.000510053,-0.00124639,-0.0156183,4
11933256,-0.000732038,0.0847297,0.0155913,0.228513,0.00504737,-0.042538,-0.972598,0.999877,-0.000510053,-0.00124639,-0.0156183,4
11965975,-0.00105114,0.0763188,0.0148503,0.230133,0.00614815,-0.0420682,-0.97223,0.999877,-0.000510053,-0.00124639,-0.0156183,4
11994814,-0.00494865,0.0775295,0.0160889,0.231532,0.00705332,-0.0416443,-0.97191,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12026778,-0.0050969,0.0655554,0.0184689,0.233197,0.0079743,-0.0411649,-0.971525,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12059588,-0.00520592,0.0755568,0.0130431,0.234767,0.00891169,-0.0406726,-0.971159,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12091537,-0.00414431,0.0506488,0.016983,0.23621,0.00971583,-0.0402295,-0.97082,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12123523,-0.00222799,0.0708657,0.0147496,0.237556,0.0105011,-0.0398223,-0.9705,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12155537,-0.000203252,0.0421301,0.0153721,0.238784,0.0112839,-0.0394881,-0.970204,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12187587,0.00585987,0.0569138,0.00897193,0.239834,0.0118908,-0.0392735,-0.969946,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12215650,0.00905057,0.044765,0.0107876,0.240621,0.0125982,-0.0390882,-0.96975,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12247684,0.011601,0.0378645,0.010033,0.241417,0.0130879,-0.0390575,-0.969547,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12279532,0.0183046,0.0389353,0.00577334,0.242031,0.0137999,-0.0390668,-0.969384,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12311505,0.0219199,0.0308369,0.0100293,0.242539,0.014262,-0.0391899,-0.969245,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12343579,0.0235134,0.0275243,0.0158854,0.243013,0.0148337,-0.0393645,-0.96911,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12375559,0.0198939,0.0228587,0.0164134,0.243433,0.0151938,-0.0396127,-0.968989,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12407530,0.0207424,0.0195668,0.0218359,0.243803,0.0156738,-0.0398074,-0.968881,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12439548,0.0195694,0.0151971,0.031308,0.244246,0.0158865,-0.0400413,-0.968756,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12467622,0.0127478,0.0179854,0.0331175,0.244642,0.0162187,-0.0401488,-0.968646,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12499625,0.0113705,0.000509573,0.0342861,0.245054,0.0162894,-0.0403423,-0.968533,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12531552,0.0106228,0.015409,0.0398163,0.245487,0.0165362,-0.040443,-0.968415,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12563600,0.00987839,-0.00896755,0.0421475,0.245959,0.0165034,-0.0406035,-0.968289,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12595558,0.00711008,0.0122283,0.0378874,0.246352,0.0166357,-0.0407204,-0.968182,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12625182,0.0111529,-0.0132079,0.0439415,0.24671,0.0165949,-0.0408871,-0.968084,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12657309,0.0100915,0.00903405,0.0398856,0.247109,0.016607,-0.0410505,-0.967975,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12689138,0.0112591,-0.0104365,0.0346443,0.247396,0.0166011,-0.0412285,-0.967894,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12721172,0.0131748,0.00701,0.033347,0.247597,0.016605,-0.0414237,-0.967835,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12753254,0.0154096,-0.00969803,0.0317373,0.247761,0.0166472,-0.0416667,-0.967782,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12785211,0.0133849,0.00819713,0.021589,0.247811,0.0166574,-0.0419017,-0.967759,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12817144,0.0100921,-0.00820795,0.0208306,0.247779,0.0167411,-0.0420824,-0.967757,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12849262,0.00902749,0.00710012,0.0158278,0.247711,0.0167022,-0.0422669,-0.967767,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12877190,0.00721807,0.00190014,0.0133758,0.247617,0.0168471,-0.042346,-0.967785,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12909190,0.00637152,0.000826618,0.0111155,0.247496,0.0167848,-0.0424749,-0.967812,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12941151,0.00370827,0.00817841,0.0139816,0.247396,0.016986,-0.0425185,-0.967832,0.999877,-0.000510053,-0.00124639,-0.0156183,4
12973144,0.0069012,0.00402638,0.0123728,0.247326,0.016994,-0.0425961,-0.967846,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13005161,0.000515859,0.0134944,0.0130097,0.247255,0.0172316,-0.0425831,-0.967861,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13037185,-0.00204106,0.00550241,0.0159794,0.247268,0.0172928,-0.0425707,-0.967857,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13069160,-0.00650634,0.0222169,0.0161658,0.247299,0.0175642,-0.0424444,-0.96785,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13101217,-0.0128915,0.00945347,0.0235992,0.247428,0.0176796,-0.042234,-0.967824,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13129177,-0.0203398,0.0298755,0.0233736,0.24758,0.0179164,-0.0419409,-0.967794,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13161284,-0.0247014,0.00869492,0.0313306,0.24783,0.0180968,-0.0415533,-0.967743,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13193133,-0.0263997,0.0335954,0.0288638,0.248146,0.0183092,-0.0410781,-0.967678,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13225207,-0.0312998,0.0134791,0.0361912,0.248494,0.0185515,-0.0405332,-0.967607,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13257259,-0.0293836,0.0339078,0.0370241,0.248914,0.0187395,-0.0399977,-0.967518,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13289144,-0.0247047,0.0238128,0.0394136,0.249356,0.0191194,-0.0394725,-0.967418,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13321132,-0.0207602,0.0358168,0.0401272,0.249826,0.019379,-0.0390455,-0.967309,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13353291,-0.0180946,0.0322945,0.0416943,0.250291,0.0198627,-0.0386033,-0.967197,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13381142,-0.0165012,0.0358111,0.0428503,0.250717,0.0201751,-0.0382894,-0.967092,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13414840,-0.01288,0.0412312,0.0419554,0.251226,0.0207768,-0.0378616,-0.966964,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13446804,-0.0117122,0.0384727,0.0425607,0.251709,0.0212528,-0.037556,-0.966841,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13478765,-0.00266666,0.0427207,0.0395446,0.252163,0.0218837,-0.0372857,-0.966719,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13506855,0.00584885,0.0372834,0.0351001,0.252499,0.0223727,-0.0371896,-0.966623,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13538710,0.0135065,0.0442024,0.0290364,0.252779,0.0230437,-0.0371975,-0.966534,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13570720,0.0209611,0.0314247,0.0304427,0.253011,0.0236645,-0.0373483,-0.966453,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13602716,0.0207505,0.0347221,0.0292062,0.253247,0.0242324,-0.0375527,-0.966369,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13635597,0.0152076,0.0198023,0.0342632,0.25348,0.0247108,-0.0377648,-0.966287,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13667575,0.00543166,0.0131083,0.0425829,0.253818,0.0249387,-0.0378906,-0.966188,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13699525,-0.00936672,-9.18303e-05,0.0536015,0.254292,0.0249933,-0.0378418,-0.966064,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13727684,-0.028523,-0.0149987,0.0678135,0.254895,0.0247411,-0.0376204,-0.96592,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13759627,-0.0440559,-0.0299004,0.080462,0.255785,0.0241871,-0.0371792,-0.965716,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13791590,-0.0515079,-0.0587481,0.0835909,0.256748,0.0232556,-0.0366862,-0.965502,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13823600,-0.0319236,-0.0805797,0.0673615,0.257597,0.0218942,-0.0363585,-0.96532,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13855563,-0.0235206,-0.0959054,0.0472573,0.258084,0.0203973,-0.0362884,-0.965225,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13887535,-0.0150075,-0.107827,0.0399183,0.2584,0.0186476,-0.0365332,-0.965167,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13919532,-0.00159716,-0.0967692,0.0193378,0.258474,0.0170804,-0.0368866,-0.965163,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13951543,0.00489505,-0.104432,0.00948869,0.258293,0.0154389,-0.0373274,-0.965222,0.999877,-0.000510053,-0.00124639,-0.0156183,4
13983555,0.00808513,-0.0831573,0.00326912,0.258023,0.0140366,-0.0377833,-0.965298,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14017192,0.0138308,-0.0947686,-0.0192097,0.257494,0.012622,-0.0384259,-0.965433,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14049126,0.0213862,-0.0729571,-0.029274,0.256698,0.0114429,-0.0390935,-0.965633,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14081138,0.022555,-0.0789205,-0.0231669,0.255941,0.0103799,-0.0397108,-0.965821,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14109183,0.00829811,-0.062978,-0.0289252,0.255276,0.00947373,-0.0401637,-0.965987,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14141125,-0.0035173,-0.0659512,-0.0273864,0.254462,0.00858028,-0.0404623,-0.966198,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14173167,-0.0134119,-0.0482956,-0.0115856,0.25384,0.00759172,-0.0406076,-0.966364,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14205174,-0.0248005,-0.0557558,-0.000234323,0.253456,0.00680582,-0.0404592,-0.966477,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14237140,-0.0376788,-0.0454304,0.00231923,0.253142,0.00575452,-0.0402117,-0.966576,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14269997,-0.041615,-0.0405351,0.0199169,0.253,0.00507341,-0.0397443,-0.966636,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14298008,-0.0356572,-0.0497035,0.0289265,0.253107,0.00418991,-0.0394112,-0.966626,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14329932,-0.036406,-0.0221263,0.0285624,0.253272,0.00362299,-0.038913,-0.966605,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14361935,-0.0347007,-0.0436362,0.0408181,0.253565,0.00279106,-0.0385688,-0.966545,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14393988,-0.0293788,-0.01044,0.0443993,0.253989,0.00236179,-0.0381948,-0.96645,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14425935,-0.0211899,-0.0368503,0.0467955,0.254477,0.00174481,-0.0379344,-0.966333,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14457968,-0.0166094,-0.00374756,0.0414966,0.254932,0.00142868,-0.037651,-0.966225,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14489932,-0.00947428,-0.0264152,0.0469846,0.255419,0.00104328,-0.0375849,-0.966099,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14522087,0.000953092,-0.000243518,0.0364126,0.255879,0.000904586,-0.0375952,-0.965977,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14549963,0.00914932,-0.0218508,0.0279524,0.256131,0.000714603,-0.0376969,-0.965907,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14581961,0.00361393,0.000385863,0.0251352,0.25634,0.000581709,-0.0378213,-0.965846,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14613948,-0.00212821,-0.0171793,0.0258715,0.256572,0.000446708,-0.0379055,-0.965781,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14645934,-0.00414333,-0.00388618,0.01899,0.256713,0.000265438,-0.0379064,-0.965744,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14677992,-0.0106446,-0.0129378,0.0295752,0.256905,6.91246e-05,-0.037796,-0.965697,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14706764,-0.0228821,0.000619522,0.0381361,0.257218,-8.96681e-05,-0.0375788,-0.965623,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14739589,-0.0230918,-0.00827185,0.0464963,0.257695,-0.000293757,-0.037271,-0.965507,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14771563,-0.0197923,0.0045984,0.0534507,0.258282,-0.000417324,-0.0369411,-0.965363,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14803516,-0.0168119,-0.0092428,0.0647559,0.258988,-0.000603609,-0.0366767,-0.965184,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14835551,-0.00958326,0.0120332,0.0661608,0.259807,-0.000642977,-0.0364494,-0.964972,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14867549,-0.00318483,-0.0100099,0.0613945,0.260568,-0.000710643,-0.0363512,-0.964771,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14899545,0.000653175,0.0156187,0.0530666,0.261191,-0.000704598,-0.0363593,-0.964602,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14931544,-0.00753399,-0.0115308,0.0464626,0.261694,-0.000685391,-0.0362699,-0.964469,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14959665,-0.0236048,0.00113216,0.0430338,0.262046,-0.000890064,-0.0361212,-0.964379,0.999877,-0.000510053,-0.00124639,-0.0156183,4
14991605,-0.0364679,-0.0274847,0.0458329,0.262413,-0.0011285,-0.0356756,-0.964295,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15023589,-0.0442385,-0.0287045,0.0423649,0.262784,-0.00190064,-0.0351819,-0.964211,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15055571,-0.0369948,-0.0457637,0.0254817,0.262904,-0.00257581,-0.0346389,-0.964197,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15087588,-0.0401806,-0.0512017,0.0119772,0.26277,-0.0036146,-0.0343082,-0.964242,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15119505,-0.0325116,-0.0634343,-0.0020766,0.262347,-0.00455568,-0.0340255,-0.964363,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15151501,-0.0229271,-0.0656035,-0.014456,0.261681,-0.00574861,-0.0338915,-0.964542,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15180462,-0.0204718,-0.0717933,-0.0190737,0.260912,-0.00671577,-0.0338437,-0.964746,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15212389,-0.0164191,-0.084905,-0.0158475,0.260039,-0.00806788,-0.03395,-0.964967,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15244462,-0.0489762,-0.058905,0.110707,0.259632,-0.00935794,-0.0338525,-0.965069,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15276373,-0.121566,-0.174393,0.124325,0.261309,-0.0103876,-0.0321959,-0.964662,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15308404,-0.125561,0.108952,0.122521,0.262643,-0.0112864,-0.0300496,-0.964359,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15340339,-0.0320964,-0.0372972,0.0819175,0.26345,-0.0113417,-0.0285267,-0.964185,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15372357,-0.0522506,0.0999778,0.0350437,0.263947,-0.0118947,-0.0281282,-0.964054,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15400414,0.0426149,-0.04533,-0.0624808,0.262398,-0.0101026,-0.0279477,-0.964502,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15432447,0.0272079,0.0568525,0.0170136,0.261839,-0.00955426,-0.0284246,-0.964646,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15464444,0.0705224,0.0840566,-0.00287715,0.261076,-0.00891243,-0.0288834,-0.964845,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15496382,0.000312557,0.0527426,0.00415554,0.260072,-0.00782788,-0.0290476,-0.965121,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15529951,-0.0241617,0.00975459,0.00894652,0.259094,-0.00725902,-0.0294817,-0.965375,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15561916,0.0259783,-0.0179659,0.00829886,0.257979,-0.00756884,-0.0300922,-0.965652,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15594041,-0.0111397,-0.01813,0.00941022,0.257099,-0.00745431,-0.0301872,-0.965885,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15626048,-0.0154924,0.0245222,0.0130129,0.255923,-0.00764194,-0.0304288,-0.966188,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15658062,0.00699057,-0.00772064,0.00756092,0.254795,-0.00762645,-0.0306217,-0.96648,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15690015,0.01094,0.0209358,0.00871367,0.2536,-0.00735753,-0.03076,-0.966792,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15721923,0.0372334,-0.000262794,-0.000231256,0.25238,-0.00714442,-0.0311706,-0.9671,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15754056,0.0381976,-0.0132739,0.0165977,0.251231,-0.00698039,-0.0318201,-0.967379,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15781959,0.0568362,0.00456011,0.000651438,0.250231,-0.00689742,-0.0325343,-0.967615,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15813993,0.0637633,-0.0262197,-0.00571562,0.248845,-0.00676504,-0.0334029,-0.967943,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15845974,0.0676038,-0.0525393,-0.00620534,0.247506,-0.00730781,-0.0346693,-0.968238,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15877930,0.0615448,-0.0267911,-0.00965317,0.246107,-0.00762258,-0.0358117,-0.968551,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15909961,0.041544,-0.0853494,0.00537833,0.244787,-0.00816666,-0.0367873,-0.968844,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15941959,0.0120798,-0.120939,0.0308651,0.243793,-0.0100117,-0.0377333,-0.969041,0.999877,-0.000510053,-0.00124639,-0.0156183,4
15973948,0.00101125,-0.0138603,0.00507296,0.242858,-0.0111044,-0.03807,-0.969251,0.999877,-0.000510053,-0.00124639,-0.0156183,4
16005940,0.000494326,-0.0308558,-0.0169077,0.24147,-0.0111081,-0.0380959,-0.969597,0.999877,-0.000510053,-0.00124639,-0.0156183,4
16034016,0.0119737,0.0225171,-0.0265888,0.240135,-0.0110058,-0.0380716,-0.96993,0.999877,-0.000510053,-0.00124639,-0.0156183,4
16065941,0.0142437,0.108821,-0.0429074,0.238437,-0.00957478,-0.0378577,-0.970373,0.999877,-0.000510053,-0.00124639,-0.0156183,4
16098012,0.0148771,0.00122305,-0.0362287,0.236639,-0.00836194,-0.037625,-0.970833,0.999877,-0.000510053,-0.00124639,-0.0156183,4
