timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
5805738,32767,32767,32767,32767,32767,32767
5809738,32767,32767,32767,32767,32767,32767
5813738,32767,32767,32767,32767,32767,32767
5817778,32767,32767,32767,32767,32767,32767
5821738,32767,32767,32767,32767,32767,32767
5825738,32767,32767,32767,32767,32767,32767
5829738,32767,32767,32767,32767,32767,32767
5833738,32767,32767,32767,32767,32767,32767
5837738,32767,32767,32767,32767,32767,32767
5841746,32767,32767,32767,32767,32767,32767
5845738,32767,32767,32767,32767,32767,32767
5849738,32767,32767,32767,32767,32767,32767
5853738,32767,32767,32767,32767,32767,32767
5857738,32767,32767,32767,32767,32767,32767
5861753,32767,32767,32767,32767,32767,32767
5865738,32767,32767,32767,32767,32767,32767
5869738,32767,32767,32767,32767,32767,32767
5873738,32767,32767,32767,32767,32767,32767
5877738,32767,32767,32767,32767,32767,32767
5881772,32767,32767,32767,32767,32767,32767
5885738,32767,32767,32767,32767,32767,32767
5889738,32767,32767,32767,32767,32767,32767
5893738,32767,32767,32767,32767,32767,32767
5897738,32767,32767,32767,32767,32767,32767
5901761,32767,32767,32767,32767,32767,32767
5905738,32767,32767,32767,32767,32767,32767
5909738,32767,32767,32767,32767,32767,32767
5913738,32767,32767,32767,32767,32767,32767
5917738,32767,32767,32767,32767,32767,32767
5921776,32767,32767,32767,32767,32767,32767
5925738,32767,32767,32767,32767,32767,32767
5929738,32767,32767,32767,32767,32767,32767
5933738,32767,32767,32767,32767,32767,32767
5937738,32767,32767,32767,32767,32767,32767
5941738,32767,32767,32767,32767,32767,32767
5945738,32767,32767,32767,32767,32767,32767
5949738,32767,32767,32767,32767,32767,32767
5953738,32767,32767,32767,32767,32767,32767
5957744,32767,32767,32767,32767,32767,32767
5961738,32767,32767,32767,32767,32767,32767
5965738,32767,32767,32767,32767,32767,32767
5969738,32767,32767,32767,32767,32767,32767
