timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
10690760,0,0.0,0.0,0.0,0.0,-0.0388345,0.0,0.0,0.0,-7.55153e-05,-0.00833838,-0.0801516,-0.08462,0.0,0.0,0.0,-0.0357558,0.0,0.114297,0.0801516,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10790791,0,0.0,0.0,0.0,0.0,-0.0500549,0.0,0.0,0.0,0.00179164,-0.00710457,-0.0831041,-0.0899714,0.0,0.0,0.0,-0.033732,0.0,0.1,0.0831041,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10892361,0,0.0,0.0,0.0,0.0,-0.065003,0.0,0.0,0.0,-0.000858735,-0.00922011,-0.0895491,-0.101525,0.0,0.0,0.0,-0.0332089,0.0,0.1,0.0895491,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10996365,0,0.0,0.0,0.0,0.0,-0.0811948,0.0,0.0,0.0,-0.0034129,-0.00630623,-0.093028,-0.109502,0.0,0.0,0.0,-0.033956,0.0,0.10859,0.093028,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11096509,0,0.0,0.0,0.0,0.0,-0.0931707,0.0,0.0,0.0,0.000377239,-0.00768342,-0.098431,-0.114926,0.0,0.0,0.0,-0.0356246,0.0,0.10247,0.098431,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11196386,0,0.0,0.0,0.0,0.0,-0.108194,0.0,0.0,0.0,-0.0016047,-0.00337635,-0.102371,-0.121349,0.0,0.0,0.0,-0.0370687,0.0,0.1,0.102371,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11300334,0,0.0,0.0,0.0,0.0,-0.124988,0.0,0.0,0.0,-0.00460235,-0.00401393,-0.108396,-0.130515,0.0,0.0,0.0,-0.0379964,0.0,0.10288,0.108396,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11400337,0,0.0,0.0,0.0,0.0,-0.144038,0.0,0.0,0.0,-0.00235407,-0.00154741,-0.119786,-0.146113,0.0,0.0,0.0,-0.0380169,0.0,0.119705,0.119786,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11504316,0,0.0,0.0,0.0,0.0,-0.15998,0.0,0.0,0.0,-0.00491281,-0.00295644,-0.121598,-0.147908,0.0,0.0,0.0,-0.0373778,0.0,0.103687,0.121598,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11604444,0,0.0,0.0,0.0,0.0,-0.176094,0.0,0.0,0.0,-0.00224261,-0.000288901,-0.129432,-0.15525,0.0,0.0,0.0,-0.0364104,0.0,0.130805,0.129432,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11704319,0,0.0,0.0,0.0,0.0,-0.178985,0.0,0.0,0.0,-0.00263395,-0.00283315,-0.124664,-0.137238,0.0,0.0,0.0,-0.0351953,0.0,0.155231,0.124664,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11809233,0,0.0,0.0,0.0,0.0,-0.179047,0.0,0.0,0.0,-0.00344818,-0.000539088,-0.116804,-0.115395,0.0,0.0,0.0,-0.033644,0.0,0.146525,0.116804,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11909169,0,0.0,0.0,0.0,0.0,-0.182008,0.0,0.0,0.0,-0.0025103,-0.00125064,-0.11331,-0.104245,0.0,0.0,0.0,-0.0321944,0.0,0.139041,0.11331,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
12009138,0,0.0,0.0,0.0,0.0,-0.181639,0.0,0.0,0.0,-0.00222468,-0.00109824,-0.108813,-0.0901072,0.0,0.0,0.0,-0.0310421,0.0,0.157088,0.108813,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
