timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.038196,0.0354009
0,0.0432637,0.0354756
0,0.0384368,0.0336717
0,0.0418431,0.036148
0,0.0432504,0.0370733
0,0.0417375,0.0352089
0,0.0345946,0.034442
0,0.0193875,0.0342193
0,0.0461246,0.0371296
0,0.0365248,0.0349425
0,0.0321769,0.0333961
0,0.00768347,0.0339026
0,0.0394797,0.0346428
0,0.0528552,0.0323713
0,0.0328619,0.0323565
0,0.0539033,0.0348207
0,0.0396673,0.037231
0,0.0128218,0.0363158
0,0.0374889,0.0361049
0,0.0359114,0.0342644
0,0.0359475,0.0332619
0,0.0369839,0.0324841
0,0.0280473,0.0341289
0,0.0254567,0.0314504
0,0.0433707,0.0327587
0,0.0345025,0.0326265
0,0.0429245,0.0330013
0,0.0174606,0.0331529
0,0.0202961,0.0333558
0,0.0323877,0.0338174
0,0.0156797,0.0328302
0,0.0199021,0.0342169
0,0.0194276,0.03325
0,0.0199389,0.0318303
0,0.0507484,0.0324453
0,0.0220923,0.0316253
0,0.02137,0.0329878
0,0.0177136,0.0374299
0,0.0414768,0.0348332
0,0.00843849,0.0319201
0,0.043754,0.0348303
0,0.0225424,0.0338582
0,0.0339016,0.0304191
0,0.0214023,0.032055
0,0.0352923,0.0324266
0,0.039838,0.0351288
0,0.0302258,0.0333154
0,0.0323645,0.0343896
0,0.048931,0.0330113
0,0.0139676,0.0331435
0,0.0162233,0.0342812
0,0.0361767,0.0311824
0,0.0295554,0.035187
0,0.0178199,0.0301298
0,0.0311553,0.0339663
0,0.0309464,0.0338988
0,0.0234389,0.032515
0,0.051715,0.0309509
0,0.0229467,0.0319083
0,0.0456057,0.0326594
0,0.018811,0.032982
0,0.0421651,0.0369563
0,0.0103896,0.0378424
0,0.0277264,0.0414943
0,0.0836634,0.0436848
0,0.0358383,0.0242276
0,0.0336131,0.0341505
0,0.0638918,0.0349471
0,0.00733039,0.0470103
0,0.0421464,0.0485414
0,0.0480817,0.0479699
0,0.0467851,0.0403301
0,0.0501763,0.0359337
0,0.0520358,0.0366451
0,0.0577705,0.0278768
0,0.0478817,0.0263421
0,0.0417996,0.0253838
0,0.0415172,0.0290711
0,0.0667885,0.0308856
0,0.0292629,0.0288785
0,0.0378935,0.0228193
0,0.040737,0.0333142
0,0.0402527,0.0353873
0,0.0509771,0.0342446
0,0.0505659,0.0317701
0,0.0314709,0.0332263
0,0.0380958,0.0385651
0,0.0355997,0.039563
0,0.049125,0.035082
0,0.0274176,0.0410037
0,0.0299115,0.0440199
0,0.0688098,0.036506
0,0.0363428,0.0314319
0,0.0544798,0.0284387
0,0.0353386,0.0354133
0,0.0491735,0.0342193
0,0.0514257,0.0302318
0,0.0482266,0.0321439
0,0.047678,0.0340186
0,0.0321364,0.030084
0,0.0377208,0.0323547
0,0.0432659,0.030609
0,0.029857,0.0348854
0,0.0341246,0.0316246
0,0.0424355,0.0234194
0,0.0273441,0.0259692
0,0.0283754,0.0262621
0,0.0288174,0.0318816
0,0.0465628,0.0345825
0,0.0260739,0.0318603
0,0.0229805,0.0415875
0,0.0298713,0.0365834
0,0.0250063,0.039211
0,0.0202962,0.0321371
0,0.0336212,0.030726
0,0.0202676,0.0275452
0,0.0117266,0.0296561
0,0.0237581,0.0308611
0,0.0384693,0.0285928
0,0.0348572,0.0292286
0,0.0571425,0.0295114
0,0.0302573,0.0297313
0,0.036244,0.0279444
0,0.035647,0.0316716
0,0.0335684,0.0334515
0,0.0370298,0.0326543
0,0.0427637,0.0405615
0,0.0451104,0.045778
0,0.0447851,0.0389916
0,0.0530992,0.0309792
0,0.0533866,0.0395923
0,0.0441191,0.0334997
0,0.0557719,0.0292614
0,0.0604053,0.0291805
0,0.0471083,0.0310056
0,0.0581223,0.0321908
0,0.0662598,0.0307991
0,0.056984,0.0340141
0,0.056533,0.0342119
0,0.0482501,0.0315247
0,0.0629471,0.0348876
0,0.0680667,0.0293911
0,0.0497689,0.0275356
0,0.0525965,0.0266741
0,0.0317782,0.0269001
0,0.0478357,0.037856
0,0.036069,0.0373922
0,0.0708126,0.0346653
0,0.0214095,0.0252154
0,0.0244615,0.0271472
