timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.280487,0.0919283
0,0.24948,0.051083
0,0.291156,0.0419769
0,0.22489,0.0552979
0,0.293337,0.0724983
0,0.590775,0.0456791
0,0.267118,0.0474109
0,0.20685,0.058336
0,0.178996,0.0728625
0,0.258401,0.0431392
0,0.23431,0.0428843
0,0.208616,0.0650596
0,0.171593,0.073068
0,0.290342,0.0436855
0,0.243596,0.0520191
0,0.169507,0.0765414
0,0.187816,0.0694092
0,0.268624,0.0442457
0,0.234118,0.0571223
0,0.184121,0.084085
0,0.258964,0.0559255
0,0.193854,0.066756
0,0.149988,0.0739683
0,0.315216,0.0589614
0,0.201119,0.0599098
0,0.186779,0.0812713
0,0.326343,0.0401053
0,0.273629,0.0538859
0,0.16593,0.0710008
0,0.257446,0.0462339
0,0.28942,0.0494619
0,0.202205,0.0607683
0,0.251857,0.0467706
0,0.264825,0.079271
0,0.167095,0.0710147
0,0.275096,0.062772
0,0.347634,0.0827145
0,0.197253,0.0734393
0,0.197584,0.0714368
0,0.383609,0.0856687
0,0.172736,0.0686966
0,0.273388,0.0778116
0,0.380127,0.0683742
0,0.190132,0.0398524
0,0.284354,0.0765864
0,0.308285,0.0478658
0,0.221746,0.0325329
0,0.157897,0.0468349
0,0.267165,0.0224505
0,0.193586,0.0398082
0,0.209155,0.0468256
0,0.214024,0.0467431
0,0.176602,0.049956
0,0.218539,0.0471568
0,0.204669,0.0510183
0,0.180128,0.0469967
0,0.235766,0.0574788
