timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
11794708,0.0628014,-0.826527,0.0352952,0.432398,0.0557313,0.027505,0.899539,0.999182,0.000615342,-0.00442698,-0.0401931,3
11826781,0.0998187,-0.791247,0.0079482,0.429118,0.068332,0.0233744,0.900357,0.999182,0.000615342,-0.00442698,-0.0401931,3
11858744,0.143869,-0.689234,-0.0148265,0.425945,0.0801804,0.020571,0.900954,0.999182,0.000615342,-0.00442698,-0.0401931,3
11890891,0.0874643,-0.503994,0.00282043,0.422882,0.0900259,0.018606,0.90151,0.999182,0.000615342,-0.00442698,-0.0401931,3
11922836,0.0738032,-0.193211,-0.0341068,0.419551,0.0957906,0.0175666,0.902492,0.999182,0.000615342,-0.00442698,-0.0401931,3
11954756,0.0953704,0.131526,0.00890657,0.415598,0.0967661,0.0190917,0.904185,0.999182,0.000615342,-0.00442698,-0.0401931,3
11986756,0.100468,0.377308,-0.0570571,0.411948,0.094235,0.0232023,0.906024,0.999182,0.000615342,-0.00442698,-0.0401931,3
12014751,-0.0444148,0.63735,-0.0707239,0.409196,0.0883187,0.0271881,0.907755,0.999182,0.000615342,-0.00442698,-0.0401931,3
12046695,-0.11714,0.876393,0.0206439,0.40515,0.0766289,0.0317041,0.910481,0.999182,0.000615342,-0.00442698,-0.0401931,3
12078732,0.00785625,0.979277,-0.0543712,0.401068,0.0635427,0.0386646,0.913024,0.999182,0.000615342,-0.00442698,-0.0401931,3
12110735,-0.0914949,1.00454,-0.101479,0.397549,0.0495439,0.0450417,0.915135,0.999182,0.000615342,-0.00442698,-0.0401931,3
12142747,-0.149528,1.10278,-0.0421996,0.39403,0.0334752,0.0510035,0.917071,0.999182,0.000615342,-0.00442698,-0.0401931,3
12174700,-0.0324717,1.10825,0.0503882,0.389102,0.0172956,0.057873,0.919212,0.999182,0.000615342,-0.00442698,-0.0401931,3
12206778,-0.132548,1.10132,0.0846693,0.383273,0.00126111,0.0647192,0.921364,0.999182,0.000615342,-0.00442698,-0.0401931,3
12238804,-0.283112,0.863082,0.132809,0.37707,-0.0147622,0.0681887,0.923553,0.999182,0.000615342,-0.00442698,-0.0401931,3
12266717,-0.0782498,0.113905,0.120096,0.372104,-0.021464,0.0687693,0.925391,0.999182,0.000615342,-0.00442698,-0.0401931,3
12298724,-0.0254674,-0.727624,0.0593557,0.368727,-0.0155785,0.0666901,0.927011,0.999182,0.000615342,-0.00442698,-0.0401931,3
12330775,0.00133586,-1.28425,0.0734974,0.366574,-0.000394661,0.0603206,0.928432,0.999182,0.000615342,-0.00442698,-0.0401931,3
12363504,0.141252,-1.7013,0.131022,0.364669,0.0241811,0.0526522,0.929333,0.999182,0.000615342,-0.00442698,-0.0401931,3
12395495,0.240509,-1.96662,0.376144,0.36046,0.0522426,0.0441426,0.930264,0.999182,0.000615342,-0.00442698,-0.0401931,3
12423573,0.376273,-2.09466,0.345758,0.355802,0.081154,0.0375036,0.930275,0.999182,0.000615342,-0.00442698,-0.0401931,3
12456370,0.129429,-1.88569,0.264022,0.351955,0.113214,0.0289046,0.928695,0.999182,0.000615342,-0.00442698,-0.0401931,3
12488415,0.11516,-1.54011,0.216683,0.348539,0.138722,0.0195774,0.926765,0.999182,0.000615342,-0.00442698,-0.0401931,3
12520347,0.257927,-1.14992,0.147549,0.346288,0.159271,0.0147775,0.924391,0.999182,0.000615342,-0.00442698,-0.0401931,3
12552348,0.327766,-0.709074,-0.0143116,0.345195,0.17414,0.0135604,0.922134,0.999182,0.000615342,-0.00442698,-0.0401931,3
12584299,0.240695,-0.136869,-0.176844,0.346779,0.181599,0.0156959,0.920065,0.999182,0.000615342,-0.00442698,-0.0401931,3
12616361,0.0218119,0.776136,-0.332499,0.351075,0.176462,0.0200695,0.91935,0.999182,0.000615342,-0.00442698,-0.0401931,3
12648346,-0.0941257,1.37893,-0.311006,0.356535,0.159208,0.0266222,0.920232,0.999182,0.000615342,-0.00442698,-0.0401931,3
12676410,-0.115926,1.73237,-0.234864,0.36026,0.138004,0.0334013,0.921983,0.999182,0.000615342,-0.00442698,-0.0401931,3
12708397,-0.424017,2.36767,-0.137954,0.362533,0.105237,0.0415554,0.925077,0.999182,0.000615342,-0.00442698,-0.0401931,3
12740343,-0.746745,2.52042,-0.112911,0.363915,0.0640938,0.0458265,0.928093,0.999182,0.000615342,-0.00442698,-0.0401931,3
12772424,-0.226187,2.41231,-0.0125246,0.363944,0.0240788,0.0534046,0.929577,0.999182,0.000615342,-0.00442698,-0.0401931,3
12804363,0.0508887,1.74282,0.196504,0.36035,-0.00649123,0.064099,0.93059,0.999182,0.000615342,-0.00442698,-0.0401931,3
12836351,0.113932,0.896322,0.173254,0.356423,-0.0253291,0.0732789,0.931102,0.999182,0.000615342,-0.00442698,-0.0401931,3
12868317,0.0817076,0.00396174,0.118087,0.35342,-0.0300638,0.0764603,0.93185,0.999182,0.000615342,-0.00442698,-0.0401931,3
12900317,-0.0401878,-0.600821,0.106899,0.3521,-0.0247652,0.074788,0.932641,0.999182,0.000615342,-0.00442698,-0.0401931,3
12932372,-0.115066,-1.14086,0.0882142,0.351321,-0.0116589,0.0682154,0.933694,0.999182,0.000615342,-0.00442698,-0.0401931,3
12964322,-0.157332,-1.4442,0.101865,0.351178,0.00707016,0.0588117,0.934433,0.999182,0.000615342,-0.00442698,-0.0401931,3
12996332,-0.0498262,-1.667,0.255198,0.349675,0.029968,0.0483013,0.935145,0.999182,0.000615342,-0.00442698,-0.0401931,3
13028319,0.111997,-1.89742,0.344875,0.345794,0.0574203,0.0386277,0.935755,0.999182,0.000615342,-0.00442698,-0.0401931,3
13060452,0.212479,-2.08437,0.375605,0.341193,0.0881588,0.0295568,0.935383,0.999182,0.000615342,-0.00442698,-0.0401931,3
13092338,0.243689,-2.05104,0.361092,0.336107,0.120425,0.0203114,0.933872,0.999182,0.000615342,-0.00442698,-0.0401931,3
13124502,0.193923,-1.61606,0.330626,0.331413,0.148541,0.013809,0.931617,0.999182,0.000615342,-0.00442698,-0.0401931,3
13152343,0.15281,-1.20949,0.20824,0.328109,0.167277,0.00923674,0.929665,0.999182,0.000615342,-0.00442698,-0.0401931,3
13184346,0.187031,-0.954671,0.0704904,0.326204,0.183813,0.00530786,0.927241,0.999182,0.000615342,-0.00442698,-0.0401931,3
13216301,0.36393,-0.524087,-0.0288829,0.32557,0.196021,0.00566203,0.924958,0.999182,0.000615342,-0.00442698,-0.0401931,3
13248437,0.363297,0.236138,-0.127025,0.326065,0.199411,0.0113697,0.924006,0.999182,0.000615342,-0.00442698,-0.0401931,3
13280440,0.0674079,0.976452,-0.278743,0.328737,0.190486,0.0183726,0.924829,0.999182,0.000615342,-0.00442698,-0.0401931,3
13312348,-0.0946197,1.55384,-0.358393,0.333546,0.170597,0.0257453,0.926812,0.999182,0.000615342,-0.00442698,-0.0401931,3
13344448,0.104138,2.17546,-0.515083,0.339105,0.14251,0.0371481,0.92915,0.999182,0.000615342,-0.00442698,-0.0401931,3
13376369,0.00275053,3.22996,-0.725609,0.346238,0.101762,0.0549769,0.930989,0.999182,0.000615342,-0.00442698,-0.0401931,3
13404299,-0.815821,3.57767,-0.652465,0.35308,0.0524524,0.0678337,0.931655,0.999182,0.000615342,-0.00442698,-0.0401931,3
13436390,-0.243046,1.9792,-0.510941,0.356943,0.00690997,0.074204,0.931149,0.999182,0.000615342,-0.00442698,-0.0401931,3
13468423,-0.00500085,1.11,-0.299178,0.360951,-0.0145093,0.0817269,0.928883,0.999182,0.000615342,-0.00442698,-0.0401931,3
13500425,-0.0460764,0.582995,-0.0492698,0.361701,-0.0273313,0.0865604,0.927865,0.999182,0.000615342,-0.00442698,-0.0401931,3
13532323,0.0184414,-0.262789,0.10841,0.360125,-0.0291407,0.0871574,0.928367,0.999182,0.000615342,-0.00442698,-0.0401931,3
13564480,-0.0557571,-1.02621,0.19654,0.358229,-0.0188129,0.0831046,0.929737,0.999182,0.000615342,-0.00442698,-0.0401931,3
13596336,0.108544,-1.67996,0.25774,0.355918,0.00247748,0.075376,0.931469,0.999182,0.000615342,-0.00442698,-0.0401931,3
13628337,0.0325975,-2.03782,0.343124,0.35295,0.0312267,0.0659741,0.932791,0.999182,0.000615342,-0.00442698,-0.0401931,3
13656302,-0.00405506,-2.44709,0.437953,0.349268,0.0613849,0.0547298,0.933407,0.999182,0.000615342,-0.00442698,-0.0401931,3
13688343,0.262132,-2.61188,0.38683,0.344244,0.100651,0.0413296,0.932554,0.999182,0.000615342,-0.00442698,-0.0401931,3
13720316,0.242927,-2.32064,0.470431,0.338378,0.138811,0.0311112,0.930196,0.999182,0.000615342,-0.00442698,-0.0401931,3
13752358,0.176242,-1.87358,0.353073,0.332702,0.171087,0.0229069,0.9271,0.999182,0.000615342,-0.00442698,-0.0401931,3
13784417,0.22751,-1.7019,0.179602,0.328915,0.197969,0.0145967,0.923261,0.999182,0.000615342,-0.00442698,-0.0401931,3
13816395,0.404277,-1.13679,0.113292,0.325568,0.2208,0.0111517,0.919309,0.999182,0.000615342,-0.00442698,-0.0401931,3
13848398,0.562794,-0.413835,0.0401205,0.323767,0.233855,0.0153455,0.916652,0.999182,0.000615342,-0.00442698,-0.0401931,3
13880400,0.39147,0.446106,-0.111646,0.322193,0.236363,0.0226151,0.916413,0.999182,0.000615342,-0.00442698,-0.0401931,3
13908338,-0.0802069,1.2413,-0.250278,0.324081,0.224488,0.0287643,0.918558,0.999182,0.000615342,-0.00442698,-0.0401931,3
13940385,-0.42702,1.67594,-0.246138,0.328168,0.200388,0.033538,0.922511,0.999182,0.000615342,-0.00442698,-0.0401931,3
13972307,-0.196825,1.97954,-0.35707,0.332106,0.171564,0.0392581,0.926677,0.999182,0.000615342,-0.00442698,-0.0401931,3
14004406,-0.281205,2.47892,-0.49655,0.33751,0.13614,0.0494493,0.930112,0.999182,0.000615342,-0.00442698,-0.0401931,3
14038019,-0.322716,2.20956,-0.311087,0.342984,0.0961922,0.0594699,0.932509,0.999182,0.000615342,-0.00442698,-0.0401931,3
14065891,0.603802,1.69998,-0.22481,0.344309,0.0718111,0.0713013,0.933387,0.999182,0.000615342,-0.00442698,-0.0401931,3
14097940,0.548347,1.3773,-0.116241,0.343652,0.0530147,0.0894127,0.933326,0.999182,0.000615342,-0.00442698,-0.0401931,3
14129939,0.108972,0.785991,-0.0315976,0.342223,0.037818,0.0999595,0.933521,0.999182,0.000615342,-0.00442698,-0.0401931,3
