timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
9080525,0,0.0,0.0,0.0,0.0,-0.17855,0.0,0.0,0.0,0.000324138,-0.00468322,0.0196794,0.0206317,0.0,0.0,0.0,2.41534,0.0,0.1,-0.0196794,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
9186256,0,0.0,0.0,0.0,0.0,-0.177272,0.0,0.0,0.0,0.00143807,-0.00438822,0.0204588,0.0202086,0.0,0.0,0.0,2.40987,0.0,0.1,-0.0204588,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
9286227,0,0.0,0.0,0.0,0.0,-0.173365,0.0,0.0,0.0,0.00155633,-0.00367523,0.0263481,0.0275888,0.0,0.0,0.0,2.40456,0.0,0.107867,-0.0263481,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
9386122,0,0.0,0.0,0.0,0.0,-0.164061,0.0,0.0,0.0,0.000622093,-0.00320236,0.0319143,0.0394036,0.0,0.0,0.0,2.4007,0.0,0.123391,-0.0319143,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
9490145,0,0.0,0.0,0.0,0.0,-0.154293,0.0,0.0,0.0,0.00172197,-0.00296575,0.0371783,0.0489975,0.0,0.0,0.0,2.39888,0.0,0.1,-0.0371783,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
9590153,0,0.0,0.0,0.0,0.0,-0.151135,0.0,0.0,0.0,0.00172632,-0.00364991,0.0402377,0.0493187,0.0,0.0,0.0,2.39901,0.0,0.1,-0.0402377,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
9690885,0,0.0,0.0,0.0,0.0,-0.142008,0.0,0.0,0.0,0.000416166,-0.00415248,0.04657,0.0589332,0.0,0.0,0.0,2.40022,0.0,0.105304,-0.04657,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
9794928,0,0.0,0.0,0.0,0.0,-0.137268,0.0,0.0,0.0,0.00100875,-0.0040481,0.0487363,0.0587558,0.0,0.0,0.0,2.40169,0.0,0.1,-0.0487363,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
9896503,0,0.0,0.0,0.0,0.0,-0.1334,0.0,0.0,0.0,0.00206279,-0.00455613,0.0507862,0.0580585,0.0,0.0,0.0,2.40253,0.0,0.1,-0.0507862,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
9997321,0,0.0,0.0,0.0,0.0,-0.13652,0.0,0.0,0.0,0.000622404,-0.00506358,0.047886,0.0460166,0.0,0.0,0.0,2.40258,0.0,0.1,-0.047886,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10097465,0,0.0,0.0,0.0,0.0,-0.139482,0.0,0.0,0.0,0.000799282,-0.00513442,0.0452712,0.0360522,0.0,0.0,0.0,2.40172,0.0,0.1,-0.0452712,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10201311,0,0.0,0.0,0.0,0.0,-0.142544,0.0,0.0,0.0,0.000989067,-0.0048381,0.0422652,0.0268611,0.0,0.0,0.0,2.39975,0.0,0.1,-0.0422652,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10301300,0,0.0,0.0,0.0,0.0,-0.137644,0.0,0.0,0.0,-0.000111765,-0.00416409,0.0444136,0.0318083,0.0,0.0,0.0,2.39706,0.0,0.10152,-0.0444136,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10401307,0,0.0,0.0,0.0,0.0,-0.134561,0.0,0.0,0.0,0.00052719,-0.00277689,0.0455351,0.0330641,0.0,0.0,0.0,2.39422,0.0,0.1,-0.0455351,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10502929,0,0.0,0.0,0.0,0.0,-0.136162,0.0,0.0,0.0,0.00118836,-0.00251043,0.0444656,0.0275969,0.0,0.0,0.0,2.39164,0.0,0.1,-0.0444656,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10607720,0,0.0,0.0,0.0,0.0,-0.135149,0.0,0.0,0.0,0.0012361,-0.00123432,0.0442969,0.0259781,0.0,0.0,0.0,2.38952,0.0,0.1,-0.0442969,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10708645,0,0.0,0.0,0.0,0.0,-0.13171,0.0,0.0,0.0,0.000688823,-0.000993981,0.045919,0.0289264,0.0,0.0,0.0,2.38807,0.0,0.1,-0.045919,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10808495,0,0.0,0.0,0.0,0.0,-0.128407,0.0,0.0,0.0,0.000862619,-0.00147731,0.0473465,0.0309674,0.0,0.0,0.0,2.38717,0.0,0.1,-0.0473465,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
10910120,0,0.0,0.0,0.0,0.0,-0.12087,0.0,0.0,0.0,0.00179813,-0.00143058,0.0501632,0.0381583,0.0,0.0,0.0,2.38671,0.0,0.1,-0.0501632,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11010941,0,0.0,0.0,0.0,0.0,-0.120365,0.0,0.0,0.0,0.00220443,-0.000619779,0.0491842,0.0340014,0.0,0.0,0.0,2.3865,0.0,0.1,-0.0491842,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11114905,0,0.0,0.0,0.0,0.0,-0.121122,0.0,0.0,0.0,0.00219446,0.000235834,0.0471846,0.0278551,0.0,0.0,0.0,2.38647,0.0,0.1,-0.0471846,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11214962,0,0.0,0.0,0.0,0.0,-0.120038,0.0,0.0,0.0,0.00223607,0.00110602,0.0473974,0.0270473,0.0,0.0,0.0,2.38651,0.0,0.1,-0.0473974,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11315032,0,0.0,0.0,0.0,0.0,-0.117839,0.0,0.0,0.0,0.00211538,0.00123956,0.0468252,0.0263988,0.0,0.0,0.0,2.38656,0.0,0.1,-0.0468252,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11418908,0,0.0,0.0,0.0,0.0,-0.113393,0.0,0.0,0.0,0.00191638,0.00047493,0.0481601,0.0298317,0.0,0.0,0.0,2.38648,0.0,0.1,-0.0481601,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11520519,0,0.0,0.0,0.0,0.0,-0.110245,0.0,0.0,0.0,0.00172421,0.000972265,0.0489576,0.0307935,0.0,0.0,0.0,2.38618,0.0,0.1,-0.0489576,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11620487,0,0.0,0.0,0.0,0.0,-0.110003,0.0,0.0,0.0,0.00233271,0.000482094,0.0480366,0.0271205,0.0,0.0,0.0,2.38553,0.0,0.1,-0.0480366,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11721399,0,0.0,0.0,0.0,0.0,-0.110588,0.0,0.0,0.0,0.0029906,0.000136736,0.0472012,0.0235615,0.0,0.0,0.0,2.38474,0.0,0.1,-0.0472012,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11825340,0,0.0,0.0,0.0,0.0,-0.110029,0.0,0.0,0.0,0.00283432,0.000145275,0.0459941,0.0208417,0.0,0.0,0.0,2.38405,0.0,0.1,-0.0459941,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
11925324,0,0.0,0.0,0.0,0.0,-0.103468,0.0,0.0,0.0,0.00225304,0.00102652,0.0482722,0.0282498,0.0,0.0,0.0,2.38362,0.0,0.108029,-0.0482722,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
