timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
3524304,32767,32767,32767,32767,32767,32767
3528304,32767,32767,32767,32767,32767,32767
3532304,32767,32767,32767,32767,32767,32767
3536303,32767,32767,32767,32767,32767,32767
3540304,32767,32767,32767,32767,32767,32767
3544304,32767,32767,32767,32767,32767,32767
3548304,32767,32767,32767,32767,32767,32767
3552313,32767,32767,32767,32767,32767,32767
3556304,32767,32767,32767,32767,32767,32767
3560304,32767,32767,32767,32767,32767,32767
3564304,32767,32767,32767,32767,32767,32767
3568331,32767,32767,32767,32767,32767,32767
3572304,32767,32767,32767,32767,32767,32767
3576304,32767,32767,32767,32767,32767,32767
3580305,32767,32767,32767,32767,32767,32767
3584304,32767,32767,32767,32767,32767,32767
3588347,32767,32767,32767,32767,32767,32767
3592304,32767,32767,32767,32767,32767,32767
3596307,32767,32767,32767,32767,32767,32767
3600304,32767,32767,32767,32767,32767,32767
3604304,32767,32767,32767,32767,32767,32767
3608345,32767,32767,32767,32767,32767,32767
3612304,32767,32767,32767,32767,32767,32767
3616304,32767,32767,32767,32767,32767,32767
3620304,32767,32767,32767,32767,32767,32767
3624303,32767,32767,32767,32767,32767,32767
3628353,32767,32767,32767,32767,32767,32767
3632304,32767,32767,32767,32767,32767,32767
3636306,32767,32767,32767,32767,32767,32767
3640308,32767,32767,32767,32767,32767,32767
3644304,32767,32767,32767,32767,32767,32767
3648322,32767,32767,32767,32767,32767,32767
3652307,32767,32767,32767,32767,32767,32767
3656304,32767,32767,32767,32767,32767,32767
3660304,32767,32767,32767,32767,32767,32767
3664305,32767,32767,32767,32767,32767,32767
3668303,32767,32767,32767,32767,32767,32767
3672309,32767,32767,32767,32767,32767,32767
3676304,32767,32767,32767,32767,32767,32767
3680304,32767,32767,32767,32767,32767,32767
3684308,32767,32767,32767,32767,32767,32767
3688304,32767,32767,32767,32767,32767,32767
3692314,32767,32767,32767,32767,32767,32767
3696304,32767,32767,32767,32767,32767,32767
3700304,32767,32767,32767,32767,32767,32767
3704304,32767,32767,32767,32767,32767,32767
3708304,32767,32767,32767,32767,32767,32767
3712303,32767,32767,32767,32767,32767,32767
3716308,32767,32767,32767,32767,32767,32767
3720305,32767,32767,32767,32767,32767,32767
3724304,32767,32767,32767,32767,32767,32767
3728312,32767,32767,32767,32767,32767,32767
3732304,32767,32767,32767,32767,32767,32767
3736355,32767,32767,32767,32767,32767,32767
3740304,32767,32767,32767,32767,32767,32767
3744304,32767,32767,32767,32767,32767,32767
3748305,32767,32767,32767,32767,32767,32767
3752304,32767,32767,32767,32767,32767,32767
3756338,32767,32767,32767,32767,32767,32767
3760304,32767,32767,32767,32767,32767,32767
3764304,32767,32767,32767,32767,32767,32767
3768304,32767,32767,32767,32767,32767,32767
3772304,32767,32767,32767,32767,32767,32767
3776358,32767,32767,32767,32767,32767,32767
3780304,32767,32767,32767,32767,32767,32767
3784304,32767,32767,32767,32767,32767,32767
3788304,32767,32767,32767,32767,32767,32767
3792304,32767,32767,32767,32767,32767,32767
3796336,32767,32767,32767,32767,32767,32767
3800304,32767,32767,32767,32767,32767,32767
3804316,32767,32767,32767,32767,32767,32767
3808304,32767,32767,32767,32767,32767,32767
3812304,32767,32767,32767,32767,32767,32767
3816315,32767,32767,32767,32767,32767,32767
3820307,32767,32767,32767,32767,32767,32767
3824304,32767,32767,32767,32767,32767,32767
3828304,32767,32767,32767,32767,32767,32767
3832307,32767,32767,32767,32767,32767,32767
3836304,32767,32767,32767,32767,32767,32767
3840309,32767,32767,32767,32767,32767,32767
3844304,32767,32767,32767,32767,32767,32767
3848304,32767,32767,32767,32767,32767,32767
3852304,32767,32767,32767,32767,32767,32767
3856304,32767,32767,32767,32767,32767,32767
3860343,32767,32767,32767,32767,32767,32767
3864317,32767,32767,32767,32767,32767,32767
3868304,32767,32767,32767,32767,32767,32767
3872312,32767,32767,32767,32767,32767,32767
3876304,32767,32767,32767,32767,32767,32767
3880304,32767,32767,32767,32767,32767,32767
3884333,32767,32767,32767,32767,32767,32767
3888309,32767,32767,32767,32767,32767,32767
3892304,32767,32767,32767,32767,32767,32767
3896304,32767,32767,32767,32767,32767,32767
3900304,32767,32767,32767,32767,32767,32767
3904325,32767,32767,32767,32767,32767,32767
3908304,32767,32767,32767,32767,32767,32767
3912304,32767,32767,32767,32767,32767,32767
3916305,32767,32767,32767,32767,32767,32767
3920304,32767,32767,32767,32767,32767,32767
3924334,32767,32767,32767,32767,32767,32767
3928304,32767,32767,32767,32767,32767,32767
3932327,32767,32767,32767,32767,32767,32767
3936304,32767,32767,32767,32767,32767,32767
3940304,32767,32767,32767,32767,32767,32767
3944325,32767,32767,32767,32767,32767,32767
3948309,32767,32767,32767,32767,32767,32767
3952304,32767,32767,32767,32767,32767,32767
3956304,32767,32767,32767,32767,32767,32767
3960304,32767,32767,32767,32767,32767,32767
3964304,32767,32767,32767,32767,32767,32767
3968304,32767,32767,32767,32767,32767,32767
3972351,32767,32767,32767,32767,32767,32767
3976303,32767,32767,32767,32767,32767,32767
3980304,32767,32767,32767,32767,32767,32767
3984304,32767,32767,32767,32767,32767,32767
3988308,32767,32767,32767,32767,32767,32767
3992304,32767,32767,32767,32767,32767,32767
3996304,32767,32767,32767,32767,32767,32767
4000305,32767,32767,32767,32767,32767,32767
4004304,32767,32767,32767,32767,32767,32767
4008313,32767,32767,32767,32767,32767,32767
4012309,32767,32767,32767,32767,32767,32767
4016304,32767,32767,32767,32767,32767,32767
4020304,32767,32767,32767,32767,32767,32767
4024304,32767,32767,32767,32767,32767,32767
4028321,32767,32767,32767,32767,32767,32767
4032329,32767,32767,32767,32767,32767,32767
4036304,32767,32767,32767,32767,32767,32767
4040319,32767,32767,32767,32767,32767,32767
4044304,32767,32767,32767,32767,32767,32767
4048304,32767,32767,32767,32767,32767,32767
4052307,32767,32767,32767,32767,32767,32767
4056307,32767,32767,32767,32767,32767,32767
4060304,32767,32767,32767,32767,32767,32767
4064303,32767,32767,32767,32767,32767,32767
4068304,32767,32767,32767,32767,32767,32767
4072342,32767,32767,32767,32767,32767,32767
4076304,32767,32767,32767,32767,32767,32767
4080304,32767,32767,32767,32767,32767,32767
4084305,32767,32767,32767,32767,32767,32767
4088304,32767,32767,32767,32767,32767,32767
4092313,32767,32767,32767,32767,32767,32767
4096304,32767,32767,32767,32767,32767,32767
4100304,32767,32767,32767,32767,32767,32767
4104304,32767,32767,32767,32767,32767,32767
4108303,32767,32767,32767,32767,32767,32767
4112321,32767,32767,32767,32767,32767,32767
4116304,32767,32767,32767,32767,32767,32767
4120304,32767,32767,32767,32767,32767,32767
4124304,32767,32767,32767,32767,32767,32767
4128304,32767,32767,32767,32767,32767,32767
4132304,32767,32767,32767,32767,32767,32767
4136304,32767,32767,32767,32767,32767,32767
4140306,32767,32767,32767,32767,32767,32767
4144304,32767,32767,32767,32767,32767,32767
4148304,32767,32767,32767,32767,32767,32767
4152304,32767,32767,32767,32767,32767,32767
4156311,32767,32767,32767,32767,32767,32767
4160323,32767,32767,32767,32767,32767,32767
4164304,32767,32767,32767,32767,32767,32767
4168305,32767,32767,32767,32767,32767,32767
4172304,32767,32767,32767,32767,32767,32767
4176309,32767,32767,32767,32767,32767,32767
4180343,32767,32767,32767,32767,32767,32767
4184304,32767,32767,32767,32767,32767,32767
4188304,32767,32767,32767,32767,32767,32767
4192304,32767,32767,32767,32767,32767,32767
4196325,32767,32767,32767,32767,32767,32767
4200353,32767,32767,32767,32767,32767,32767
4204304,32767,32767,32767,32767,32767,32767
4208304,32767,32767,32767,32767,32767,32767
4212304,32767,32767,32767,32767,32767,32767
4216304,32767,32767,32767,32767,32767,32767
4220322,32767,32767,32767,32767,32767,32767
4224307,32767,32767,32767,32767,32767,32767
4228304,32767,32767,32767,32767,32767,32767
4232304,32767,32767,32767,32767,32767,32767
4236304,32767,32767,32767,32767,32767,32767
4240308,32767,32767,32767,32767,32767,32767
4244304,32767,32767,32767,32767,32767,32767
4248304,32767,32767,32767,32767,32767,32767
4252305,32767,32767,32767,32767,32767,32767
4256311,32767,32767,32767,32767,32767,32767
4260309,32767,32767,32767,32767,32767,32767
4264304,32767,32767,32767,32767,32767,32767
4268304,32767,32767,32767,32767,32767,32767
4272304,32767,32767,32767,32767,32767,32767
4276304,32767,32767,32767,32767,32767,32767
4280321,32767,32767,32767,32767,32767,32767
4284303,32767,32767,32767,32767,32767,32767
4288308,32767,32767,32767,32767,32767,32767
4292318,32767,32767,32767,32767,32767,32767
4296304,32767,32767,32767,32767,32767,32767
4300304,32767,32767,32767,32767,32767,32767
4304304,32767,32767,32767,32767,32767,32767
4308329,32767,32767,32767,32767,32767,32767
4312304,32767,32767,32767,32767,32767,32767
4316311,32767,32767,32767,32767,32767,32767
4320304,32767,32767,32767,32767,32767,32767
4324308,32767,32767,32767,32767,32767,32767
4328339,32767,32767,32767,32767,32767,32767
4332304,32767,32767,32767,32767,32767,32767
4336305,32767,32767,32767,32767,32767,32767
4340304,32767,32767,32767,32767,32767,32767
4344309,32767,32767,32767,32767,32767,32767
4348316,32767,32767,32767,32767,32767,32767
4352326,32767,32767,32767,32767,32767,32767
4356304,32767,32767,32767,32767,32767,32767
4360304,32767,32767,32767,32767,32767,32767
4364322,32767,32767,32767,32767,32767,32767
4368336,32767,32767,32767,32767,32767,32767
4372303,32767,32767,32767,32767,32767,32767
4376304,32767,32767,32767,32767,32767,32767
4380304,32767,32767,32767,32767,32767,32767
4384304,32767,32767,32767,32767,32767,32767
4388316,32767,32767,32767,32767,32767,32767
4392307,32767,32767,32767,32767,32767,32767
4396304,32767,32767,32767,32767,32767,32767
4400304,32767,32767,32767,32767,32767,32767
4404308,32767,32767,32767,32767,32767,32767
4408307,32767,32767,32767,32767,32767,32767
4412304,32767,32767,32767,32767,32767,32767
4416304,32767,32767,32767,32767,32767,32767
4420305,32767,32767,32767,32767,32767,32767
4424304,32767,32767,32767,32767,32767,32767
4428310,32767,32767,32767,32767,32767,32767
4432304,32767,32767,32767,32767,32767,32767
4436318,32767,32767,32767,32767,32767,32767
4440305,32767,32767,32767,32767,32767,32767
4444304,32767,32767,32767,32767,32767,32767
4448328,32767,32767,32767,32767,32767,32767
4452304,32767,32767,32767,32767,32767,32767
4456337,32767,32767,32767,32767,32767,32767
4460304,32767,32767,32767,32767,32767,32767
4464304,32767,32767,32767,32767,32767,32767
4468304,32767,32767,32767,32767,32767,32767
4472304,32767,32767,32767,32767,32767,32767
4476340,32767,32767,32767,32767,32767,32767
4480304,32767,32767,32767,32767,32767,32767
4484304,32767,32767,32767,32767,32767,32767
4488304,32767,32767,32767,32767,32767,32767
4492308,32767,32767,32767,32767,32767,32767
4496312,32767,32767,32767,32767,32767,32767
4500304,32767,32767,32767,32767,32767,32767
