timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
3524304,-0.19669,0.966393,-0.0314973,4000,0,-1.36922,-13.8654,0.37198,4000,-1437,0.0333014,0.876446,0.259454,-21301,255.928,25.76
3528304,-0.269071,0.993273,-0.118542,4000,0,-0.992523,-13.8018,0.334945,4000,-5437,0.0333014,0.876446,0.259454,-3314,256.013,25.76
3532304,-0.365762,1.05631,-0.194844,4000,0,-0.660371,-13.7254,0.403,4000,-9437,0.0333014,0.876446,0.259454,-7314,256.013,25.76
3536303,-0.498763,1.14873,-0.24647,3999,0,-0.403898,-13.7022,0.447744,3999,-3444,0.0260133,0.873469,0.262354,-252,255.928,25.76
3540304,-0.671627,1.26811,-0.264341,4001,0,-0.265528,-13.6452,0.479526,4001,-7445,0.0260133,0.873469,0.262354,-4253,255.928,25.76
3544304,-0.876526,1.40754,-0.231604,4000,0,-0.247389,-13.3623,0.48612,4000,-1444,0.0249393,0.867194,0.269729,-8253,255.928,25.76
3548304,-1.0952,1.55835,-0.130344,4000,0,-0.254545,-12.9521,0.415956,4000,-5444,0.0249393,0.867194,0.269729,-1313,255.758,25.76
3552313,-1.30659,1.70509,0.0351933,4009,0,-0.240769,-12.4921,0.310639,4009,-9453,0.0249393,0.867194,0.269729,-5322,255.758,25.76
3556304,-1.47303,1.84124,0.248276,3991,0,-0.206165,-11.8637,0.179679,3991,-3443,0.0149661,0.859311,0.279838,-9313,255.758,25.76
3560304,-1.58475,1.95499,0.50618,4000,0,-0.166221,-11.3706,0.0728941,4000,-7443,0.0149661,0.859311,0.279838,-13313,255.758,25.76
3564304,-1.6485,2.03138,0.794738,4000,0,-0.121168,-10.9658,0.111239,4000,-1444,0.0056067,0.850381,0.291025,-17313,255.758,25.76
3568331,-1.66501,2.05977,1.09389,4027,0,-0.0231689,-10.6682,0.229424,4027,-5471,0.0056067,0.850381,0.291025,-21340,255.758,25.76
3572304,-1.6488,2.03255,1.38024,3973,0,0.128162,-10.331,0.515466,3973,-9444,0.0056067,0.850381,0.291025,-3302,255.758,25.77
3576304,-1.62912,1.94158,1.64187,4000,0,0.27801,-10.0601,0.973504,4000,-3445,0.00299833,0.843302,0.307348,-7302,255.758,25.77
3580305,-1.6188,1.78957,1.8767,4001,0,0.451362,-9.93582,1.49403,4001,-7446,0.00299833,0.843302,0.307348,-314,255.672,25.77
3584304,-1.66345,1.57269,2.07545,3999,0,0.549602,-9.9064,2.03258,3999,-1435,0.00829177,0.837832,0.317872,-4313,255.672,25.77
3588347,-1.75854,1.30597,2.24713,4043,0,0.514456,-9.87313,2.53821,4043,-5478,0.00829177,0.837832,0.317872,-8356,255.672,25.77
3592304,-1.91156,1.01184,2.40981,3957,0,0.389333,-9.72707,2.86176,3957,-9435,0.00829177,0.837832,0.317872,-1301,255.331,25.77
3596307,-2.12379,0.718593,2.56638,4003,0,0.251579,-9.60914,2.90453,4003,-3448,0.026627,0.826409,0.334113,-5304,255.331,25.77
3600304,-2.39205,0.449322,2.72137,3997,0,0.0339587,-9.471,2.67667,3997,-7445,0.026627,0.826409,0.334113,-9301,255.331,25.77
3604304,-2.69997,0.235766,2.8789,4000,0,-0.25934,-9.41006,2.17245,4000,-1444,0.0441184,0.810239,0.35284,-13301,255.331,25.77
3608345,-3.03539,0.0991255,3.0358,4041,0,-0.600937,-9.25722,1.47373,4041,-5485,0.0441184,0.810239,0.35284,-17342,255.331,25.77
3612304,-3.37014,0.0512464,3.19064,3959,0,-0.90391,-8.94931,0.69573,3959,-9444,0.0441184,0.810239,0.35284,-21301,255.331,25.77
3616304,-3.69642,0.0892792,3.33464,4000,0,-1.12215,-8.57702,0.00702692,4000,-3444,0.0639113,0.796161,0.376621,-3311,255.672,25.77
3620304,-4.02517,0.207448,3.4572,4000,0,-1.33053,-8.37067,-0.608112,4000,-7444,0.0639113,0.796161,0.376621,-7311,255.672,25.77
3624303,-4.36642,0.390642,3.5587,3999,0,-1.56431,-8.21862,-1.02309,3999,-1412,0.0853152,0.771626,0.406618,-244,255.586,25.77
3628353,-4.73999,0.618352,3.64399,4050,0,-1.75864,-8.29602,-1.33376,4050,-5462,0.0853152,0.771626,0.406618,-4294,255.586,25.77
3632304,-5.15255,0.873976,3.70188,3951,0,-1.84639,-8.45348,-1.59593,3951,-9413,0.0853152,0.771626,0.406618,-8245,255.586,25.77
3636306,-5.58964,1.14333,3.73733,4002,0,-1.85783,-8.27279,-1.87375,4002,-3447,0.105338,0.745159,0.441088,-1303,255.844,25.77
3640308,-6.03356,1.41911,3.75879,4002,0,-1.75509,-7.86847,-2.1345,4002,-7449,0.105338,0.745159,0.441088,-5305,255.844,25.77
3644304,-6.47779,1.68795,3.76798,3996,0,-1.52277,-7.18742,-2.36432,3996,-1421,0.12329,0.707269,0.481774,-9301,255.844,25.77
3648322,-6.91988,1.93616,3.76811,4018,0,-1.17473,-6.54607,-2.4295,4018,-5439,0.12329,0.707269,0.481774,-13319,255.844,25.77
3652307,-7.38053,2.15288,3.75799,3985,0,-0.829372,-5.88037,-2.44651,3985,-9424,0.12329,0.707269,0.481774,-17304,255.844,25.77
3656304,-7.89303,2.3318,3.76722,3997,0,-0.501256,-4.91891,-2.40493,3997,-3445,0.132573,0.660209,0.530082,-21301,255.844,25.77
3660304,-8.47232,2.47148,3.80528,4000,0,-0.13269,-3.93645,-2.29605,4000,-7445,0.132573,0.660209,0.530082,-3313,255.928,25.77
3664305,-9.14182,2.56836,3.884,4001,0,0.148186,-2.86857,-2.30867,4001,-1426,0.135795,0.600116,0.579717,-7314,255.928,25.77
3668303,-9.90039,2.62088,4.03499,3998,0,0.179773,-1.46272,-2.53787,3998,-5424,0.135795,0.600116,0.579717,-271,255.501,25.77
3672309,-10.7091,2.6274,4.28804,4006,0,0.0976866,0.335957,-2.90844,4006,-9430,0.135795,0.600116,0.579717,-4277,255.501,25.77
3676304,-11.5078,2.58709,4.64816,3995,0,-0.232175,2.35585,-3.38499,3995,-3445,0.135411,0.521119,0.634572,-8272,255.501,25.77
3680304,-12.2778,2.48943,5.13021,4000,0,-0.638275,3.91538,-4.01273,4000,-7445,0.135411,0.521119,0.634572,-1250,255.758,25.77
3684308,-13.0199,2.34423,5.63339,4004,0,-0.57776,4.76263,-4.80231,4004,-1449,0.132726,0.417827,0.691498,-5254,255.758,25.77
3688304,-13.611,2.17431,6.112,3996,0,-0.792782,5.94667,-5.76578,3996,-5445,0.132726,0.417827,0.691498,-9250,255.758,25.77
3692314,-14.0129,1.99888,6.58649,4010,0,-1.26946,6.75403,-7.00677,4010,-9455,0.132726,0.417827,0.691498,-13260,255.758,25.77
3696304,-14.2225,1.8404,7.04001,3990,0,-1.76724,7.49145,-8.3129,3990,-3443,0.13311,0.300297,0.740553,-17250,255.758,25.77
3700304,-14.2551,1.69876,7.44813,4000,0,-2.23793,8.11537,-9.48521,4000,-7443,0.13311,0.300297,0.740553,-21250,255.758,25.77
3704304,-14.1329,1.57841,7.77871,4000,0,-2.44293,7.78528,-10.501,4000,-1444,0.123904,0.162333,0.773863,-3301,255.844,25.77
3708304,-13.9039,1.48141,7.93818,4000,0,-2.39921,7.07026,-11.2012,4000,-5444,0.123904,0.162333,0.773863,-7301,255.844,25.77
3712303,-13.5572,1.39639,7.97251,3999,0,-3.13988,7.26332,-11.2991,3999,-9443,0.123904,0.162333,0.773863,-299,255.928,25.77
3716308,-13.1062,1.30856,7.92619,4005,0,-3.48794,6.30279,-10.9894,4005,-3449,0.116539,0.0319314,0.787204,-4304,255.928,25.77
3720305,-12.6076,1.20185,7.71691,3997,0,-3.86898,5.30464,-10.2017,3997,-7446,0.116539,0.0319314,0.787204,-8301,255.928,25.77
3724304,-12.1039,1.06133,7.41072,3999,0,-4.26624,4.51125,-9.00722,3999,-1444,0.0952116,-0.0899431,0.782895,-1313,256.355,25.77
3728312,-11.6104,0.869823,7.02282,4008,0,-4.44344,3.7534,-7.43443,4008,-5452,0.0952116,-0.0899431,0.782895,-5321,256.355,25.77
3732304,-11.1639,0.615356,6.58014,3992,0,-4.69968,3.04574,-5.62675,3992,-9444,0.0952116,-0.0899431,0.782895,-9313,256.355,25.77
3736355,-10.7934,0.28427,6.12469,4051,0,-5.09355,2.47578,-3.81929,4051,-3496,0.0731172,-0.200877,0.767234,-13364,256.355,25.77
3740304,-10.5448,-0.11469,5.72579,3949,0,-5.57191,2.10407,-2.1448,3949,-7445,0.0731172,-0.200877,0.767234,-17313,256.355,25.77
3744304,-10.3847,-0.575231,5.37162,4000,0,-5.94532,1.9034,-1.06789,4000,-1444,0.0540148,-0.30264,0.741713,-21313,256.355,25.77
3748305,-10.3103,-1.06962,5.03951,4001,0,-6.16945,1.9297,-0.744604,4001,-5445,0.0540148,-0.30264,0.741713,-3315,255.844,25.77
3752304,-10.2806,-1.54488,4.70554,3999,0,-6.07606,2.43102,-0.970254,3999,-9444,0.0540148,-0.30264,0.741713,-7314,255.844,25.77
3756338,-10.2831,-1.96442,4.35596,4034,0,-5.83894,3.06932,-1.56115,4034,-3479,0.0388249,-0.388797,0.707988,-338,256.099,25.77
3760304,-10.2833,-2.30031,3.99026,3966,0,-5.72102,3.81941,-2.4877,3966,-7445,0.0388249,-0.388797,0.707988,-4304,256.099,25.77
3764304,-10.2862,-2.52693,3.64746,4000,0,-5.78451,5.02638,-3.87902,4000,-1444,0.0354494,-0.474069,0.660508,-8304,256.099,25.77
3768304,-10.3211,-2.62738,3.34962,4000,0,-5.78945,6.49205,-5.43439,4000,-5444,0.0354494,-0.474069,0.660508,-1303,255.928,25.77
3772304,-10.3423,-2.60381,3.10143,4000,0,-5.65604,8.01435,-6.99464,4000,-9444,0.0354494,-0.474069,0.660508,-5303,255.928,25.77
3776358,-10.3125,-2.46446,2.90562,4054,0,-5.53809,9.33038,-8.47745,4054,-3498,0.0354494,-0.553469,0.609962,-9357,255.928,25.77
3780304,-10.2125,-2.22072,2.76213,3946,0,-5.4487,10.1499,-9.90371,3946,-7444,0.0354494,-0.553469,0.609962,-13303,255.928,25.77
3784304,-10.0702,-1.87938,2.65754,4000,0,-5.41414,10.1275,-11.3281,4000,-1445,0.0334548,-0.6278,0.549224,-17303,255.928,25.77
3788304,-9.89587,-1.44412,2.5669,4000,0,-5.31443,9.41308,-12.7033,4000,-5445,0.0334548,-0.6278,0.549224,-21303,255.928,25.77
3792304,-9.66636,-0.926326,2.47109,4000,0,-5.08829,8.58591,-13.858,4000,-9445,0.0334548,-0.6278,0.549224,-3300,256.013,25.78
3796336,-9.35655,-0.346479,2.35874,4032,0,-4.76078,7.66037,-14.6974,4032,-3477,0.0263969,-0.68749,0.484094,-7332,256.013,25.78
3800304,-8.94697,0.258596,2.21278,3968,0,-4.44506,6.30563,-14.9577,3968,-7445,0.0263969,-0.68749,0.484094,-301,255.672,25.78
3804316,-8.44572,0.833171,2.02759,4012,0,-4.25152,4.5008,-14.6171,4012,-1457,0.00913566,-0.739297,0.417638,-4313,255.672,25.78
3808304,-7.8976,1.33023,1.81576,3988,0,-4.19867,2.73367,-13.6241,3988,-5445,0.00913566,-0.739297,0.417638,-8301,255.672,25.78
3812304,-7.32191,1.67896,1.59472,4000,0,-4.11416,1.40875,-12.1761,4000,-9445,0.00913566,-0.739297,0.417638,-1313,256.013,25.78
3816315,-6.81929,1.86646,1.37245,4011,0,-4.00667,0.412252,-10.7757,4011,-3456,-0.00989004,-0.778715,0.357232,-5324,256.013,25.78
3820307,-6.4189,1.91413,1.17138,3992,0,-3.75244,0.909273,-9.13674,3992,-7448,-0.00989004,-0.778715,0.357232,-9316,256.013,25.78
3824304,-5.92858,1.82949,1.02223,3997,0,-3.00758,2.89495,-6.76405,3997,-1445,-0.0299131,-0.812422,0.304117,-13313,256.013,25.78
3828304,-5.29467,1.59834,0.880111,4000,0,-1.94057,3.88651,-4.05847,4000,-5445,-0.0299131,-0.812422,0.304117,-17313,256.013,25.78
3832307,-4.75082,1.19874,0.690303,4003,0,-1.36948,3.02049,-1.30023,4003,-9448,-0.0299131,-0.812422,0.304117,-21316,256.013,25.78
3836304,-4.3958,0.618499,0.470911,3997,0,-1.23052,2.14301,1.48109,3997,-3409,-0.0420343,-0.834625,0.258294,-3301,256.099,25.78
3840309,-4.18528,-0.12528,0.292166,4005,0,-1.20339,2.54766,3.95703,4005,-7414,-0.0420343,-0.834625,0.258294,-7306,256.099,25.78
3844304,-4.06568,-0.995644,0.197365,3995,0,-1.07961,3.66585,5.99101,3995,-1423,-0.0498593,-0.844841,0.224983,-314,255.844,25.78
3848304,-4.0112,-1.94325,0.181135,4000,0,-1.00718,4.50613,7.27752,4000,-5423,-0.0498593,-0.844841,0.224983,-4314,255.844,25.78
3852304,-4.02891,-2.88431,0.227988,4000,0,-1.0845,5.13672,7.72912,4000,-9423,-0.0498593,-0.844841,0.224983,-8314,255.844,25.78
3856304,-4.07964,-3.74704,0.335083,4000,0,-1.09651,5.99915,7.48994,4000,-3423,-0.0479414,-0.858356,0.189104,-1313,255.844,25.78
3860343,-4.14712,-4.47622,0.484954,4039,0,-1.06064,6.61869,6.72763,4039,-7462,-0.0479414,-0.858356,0.189104,-5352,255.844,25.78
3864317,-4.24176,-5.03765,0.657072,3974,0,-1.16736,7.01353,5.57611,3974,-1437,-0.0404232,-0.870745,0.157616,-9326,255.844,25.78
3868304,-4.34039,-5.40642,0.843168,3987,0,-1.22004,7.53289,4.31369,3987,-5424,-0.0404232,-0.870745,0.157616,-13313,255.844,25.78
3872312,-4.39526,-5.58441,1.04963,4008,0,-1.26558,8.55352,2.86341,4008,-9432,-0.0404232,-0.870745,0.157616,-17321,255.844,25.78
3876304,-4.46225,-5.57149,1.30335,3992,0,-1.37489,9.56381,1.28171,3992,-3432,-0.036971,-0.880398,0.117594,-21313,255.844,25.78
3880304,-4.5534,-5.37266,1.58908,4000,0,-1.29446,9.81222,-0.253642,4000,-7432,-0.036971,-0.880398,0.117594,-3313,255.672,25.78
3884333,-4.65926,-5.00839,1.8806,4029,0,-1.23436,10.3165,-1.48167,4029,-1443,-0.0361271,-0.886432,0.0798915,-7342,255.672,25.78
3888309,-4.75651,-4.52712,2.20536,3976,0,-1.26687,11.5569,-2.35956,3976,-5419,-0.0361271,-0.886432,0.0798915,-318,255.844,25.78
3892304,-4.8686,-3.96985,2.57413,3995,0,-1.41274,12.6281,-2.92085,3995,-9414,-0.0361271,-0.886432,0.0798915,-4313,255.844,25.78
3896304,-5.03566,-3.37356,2.94847,4000,0,-1.55969,12.8742,-3.23014,4000,-3408,-0.0474811,-0.898901,0.0375488,-8313,255.844,25.78
3900304,-5.25407,-2.78065,3.27723,4000,0,-1.68364,12.9011,-3.3091,4000,-7408,-0.0474811,-0.898901,0.0375488,-1257,255.928,25.78
3904325,-5.52495,-2.22057,3.56123,4021,0,-1.98245,13.094,-3.26514,4021,-1428,-0.0664301,-0.899866,-0.00843976,-5278,255.928,25.78
