timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
3523760,4.75664,0.0,0,1,0,0,0,0,0
4023760,4.74858,0.0,0,1,0,0,0,0,0
4523777,4.79531,0.0,0,1,0,0,0,0,0
5033760,4.73569,0.0,0,1,0,0,0,0,0
5533795,4.76631,0.0,0,1,0,0,0,0,0
6033791,4.79531,0.0,0,1,0,0,0,0,0
6533760,4.76953,0.0,0,1,0,0,0,0,0
7033760,4.7228,0.0,0,1,0,0,0,0,0
7533760,4.76147,0.0,0,1,0,0,0,0,0
8033760,4.79531,0.0,0,1,0,0,0,0,0
8533775,4.74375,0.0,0,1,0,0,0,0,0
9033760,4.75825,0.0,0,1,0,0,0,0,0
9533771,4.75342,0.0,0,1,0,0,0,0,0
10033760,4.74375,0.0,0,1,0,0,0,0,0
10533800,4.74536,0.0,0,1,0,0,0,0,0
11033773,4.76147,0.0,0,1,0,0,0,0,0
11533760,4.79531,0.0,0,1,0,0,0,0,0
12043760,4.70991,0.0,0,1,0,0,0,0,0
12543761,4.78242,0.0,0,1,0,0,0,0,0
13043760,4.79531,0.0,0,1,0,0,0,0,0
13543760,4.73569,0.0,0,1,0,0,0,0,0
14043760,4.75664,0.0,0,1,0,0,0,0,0
14543760,4.73569,0.0,0,1,0,0,0,0,0
15043779,4.74858,0.0,0,1,0,0,0,0,0
15553806,4.76147,0.0,0,1,0,0,0,0,0
16053797,4.75664,0.0,0,1,0,0,0,0,0
16553760,4.79531,0.0,0,1,0,0,0,0,0
17053760,4.74375,0.0,0,1,0,0,0,0,0
17553760,4.74214,0.0,0,1,0,0,0,0,0
18053760,4.79531,0.0,0,1,0,0,0,0,0
18563781,4.79531,0.0,0,1,0,0,0,0,0
19063807,4.75825,0.0,0,1,0,0,0,0,0
19563760,4.76792,0.0,0,1,0,0,0,0,0
20063765,4.75664,0.0,0,1,0,0,0,0,0
20563810,4.79531,0.0,0,1,0,0,0,0,0
21073760,4.79531,0.0,0,1,0,0,0,0,0
21573779,4.71636,0.0,0,1,0,0,0,0,0
22073760,4.79531,0.0,0,1,0,0,0,0,0
22573760,4.75986,0.0,0,1,0,0,0,0,0
23073760,4.73247,0.0,0,1,0,0,0,0,0
23573760,4.74214,0.0,0,1,0,0,0,0,0
24073779,4.74536,0.0,0,1,0,0,0,0,0
24573760,4.76631,0.0,0,1,0,0,0,0,0
25073771,4.72925,0.0,0,1,0,0,0,0,0
25573763,4.79531,0.0,0,1,0,0,0,0,0
26073760,4.76147,0.0,0,1,0,0,0,0,0
26573826,4.73247,0.0,0,1,0,0,0,0,0
